property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info,property_href,location,near_schools,walkscore_url,walkscore
Single Family Residence,"$3,430,000 ","2415 Pomino Way, Pleasanton, CA 94566",6 beds | 5/2 bath | year built in: 2006,"7,200","This gorgeous Ruby Hill home features 6 bedrooms, 5 full baths and 2 powder rooms. Off the main entry foyer is the formal living room, dining room and large office with French doors. The gourmet kitchen boasts a DCS professional stove, slab granite counter tops, U-Line wine refrigerator, large center island and a separate prep area with a second sink. Kitchen also features a large breakfast bar and a walk in pantry. Just off of the kitchen is a large family room with built-in media storage and 2 story windows offering tons of natural light.  Off of the family room is a rec room with a wet bar, beverage refrigerator and French doors leading out to the backyard. The lower level also includes a guest suite and interior courtyard with a fireplace. Upstairs you will find a large master suite with a fireplace along with 3 additional bedrooms, large loft and a separate au pair suite. Large and private back yard hosts beautiful landscaping, fruit trees and an elevated sitting area with views!","['MLS # : BE40893127', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave, Oven Range - Gas,  Refrigerator, 220 Volt Outlet, Breakfast Bar, Countertop - Stone,  Island,  Pantry,  Updated', 'Dining Room : Dining Area', 'Family Room : Separate Family Room', 'Fireplace : Family Room, Living Room, Master Bedroom,  Other', 'Flooring : Carpet - Wall to Wall,  Hardwood,  Tile', 'Laundry : In Laundry Room', 'Cooling : Ceiling Fan, Multi-Zone', 'Heating : Forced Air', 'Roof : Tile', 'Foundation : -', 'Pool : Community Facility, Pool - No', 'Style : Custom', 'Horse Property : -', 'Garage/Parking : Access - Interior, Attached Garage,  Garage, Garage: 4 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $245', 'Complex Amenities : Community Pool', 'Zoning : -']",https://www.mlslistings.com/property/be40893127/2415-pomino-way-pleasanton-ca-94566/10431060,lat=37.6479914 | lng=-121.819562,"['Mission Valley Elementary School Public K-6 0.34 mi 7', 'Joshua Chadbourne Elementary School Public K-6 0.58 mi 9', 'William Hopkins Junior High School Public 7-8 0.91 mi N/A', 'Mission San Jose High School Public 9-12 0.94 mi 10', 'E. M. Grimmer Elementary School Public K-6 1.11 mi 7', 'Mission San Jose Elementary School Public K-6 1.19 mi 9', 'John Gomes Elementary School Public K-6 1.19 mi 9', 'John M. Horner Junior High School Public 7-8 1.23 mi 8', 'O. N. Hirsch Elementary School Public K-6 1.23 mi 8', 'Harvey Green Elementary School Public K-6 1.42 mi 9', 'J. Haley Durham Elementary School Public K-6 1.5 mi 7', 'Robertson High (Continuation) School Public 9-12 1.66 mi N/A', 'Vista Alternative School Public 7-12 1.66 mi 2', 'Irvington High School Public 9-12 1.69 mi 9', 'Fred E. Weibel Elementary School Public K-6 1.99 mi 7', 'John Blacow Elementary School Public K-6 2.0 mi 5']",https://www.walkscore.com/score/loc/lat=37.6571351/lng=-121.8255237/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,1
Single Family Residence,"$949,950 ","4669 Deadwood Drive, Fremont, CA 94536",3 beds | 2 bath | year built in: 1962,"1,452","NEW LISTING!! **OPEN HOME SUNDAY JAN 26TH, 1:30 PM-4:00 PM** VERY CLEAN HOME IN GLENMOOR ELEMENTARY SCHOOL AREA, STEP DOWN FAMILY ROOM, HARDWOOD FLOORS,FRESH PAINT INSIDE AND OUT, 3 YEAR OLD HEATING AND AIR CONDITIONING, UPGRADED WINDOWS, ALL NEW ELECTRICAL OUTLETS, LARGE PATIO ROOM, PRIVATE BACKYARD, CLOSE TO HWYS 880, DUMBARTON BRIDGE AND ACE TRAIN STATION","['MLS # : BE40893186', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s),  Tile, Updated Bath(s)', 'Kitchen : Cooktop - Electric,  Dishwasher, Garbage Disposal, Oven - Built-In,  Refrigerator, 220 Volt Outlet, Countertop - Laminate, Eat In Kitchen', 'Dining Room : -', 'Family Room : -', 'Fireplace : Brick, Living Room, Wood Burning', 'Flooring : Carpet - Wall to Wall,  Concrete,  Hardwood,  Laminate,  Linoleum', 'Laundry : 220 Volt Outlet, Hookups Only, In Garage', 'Cooling : Central -1 Zone', 'Heating : Forced Air', 'Roof : Composition', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : Ranch', 'Horse Property : -', 'Garage/Parking : Access - Interior, Attached Garage,  Garage, Gate/Door Opener, Off-Street Parking, Garage: 2 Car(s)', 'Elementary District : Fremont Unified', 'High School District : Fremont Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/be40893186/4669-deadwood-drive-fremont-ca-94536/10431701,lat=37.5496841 | lng=-122.013928,"['Vintage Hills Elementary School Public K-5 1.62 mi 10', 'Emma C. Smith Elementary School Public K-5 1.75 mi 8', 'William Mendenhall Middle School Public 6-8 1.9 mi 8']",https://www.walkscore.com/score/loc/lat=37.5218607/lng=-122.0089537/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,67
Single Family Residence,"$2,095,000 ","3327 Fernside Blvd, Alameda, CA 94501",4 beds | 2/1 bath | year built in: 1925,"2,581","Located in Alamedas lovely Fernside neighborhood overlooking San Leandro Bay, this home provides access to fun for the whole family. The waterfront recreation and views appeal to mostly everyone, but the thoughtful addition of a handicap elevator, accessible bathroom, and wheelchair access to the dock, make this home ideal for family members with special needs. The Craftsman-style home was built using old-growth redwood. The front yard landscaping features 50K pounds of Early Sunset Quarry Stone and the stationary deep water dock and float dock are recently restored. Amenities include a wood-burning fireplace, hardwood floors and 4 large bedrooms. Two bedrooms have views of San Leandro Bay and all 4 bedrooms have walk-in closets. The kitchen provides the epicure with an ideal space to create on its marble countertops, and dual fuel range with six burners and double ovens. Near the yacht club, parks, schools, and local restaurants. A definite must see!!","['MLS # : BE40893184', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : Microwave, Oven Range - Gas,  Refrigerator,  Dryer,  Washer, Countertop - Solid Surface / Corian, Countertop - Tile,  Updated', 'Dining Room : -', 'Family Room : -', 'Fireplace : Brick, Living Room, Wood Burning', 'Flooring : Hardwood', 'Laundry : In Basement', 'Cooling : Window/Wall Unit', 'Heating : Forced Air', 'Roof : Composition', 'Foundation : Slab, Crawl Space', 'Pool : None, Pool - No', 'Style : Craftsman', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Off-Street Parking, Tandem Parking, Garage: 2 Car(s)', 'Elementary District : Alameda City Unified', 'High School District : Alameda City Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/be40893184/3327-fernside-blvd-alameda-ca-94501/10431658,lat=37.760241 | lng=-122.2253036,"['Newark Memorial High School Public 9-12 0.4 mi 5', 'Birch Grove Primary Public K-6 0.61 mi N/A', 'Joseph Azevada Elementary School Public K-6 1.03 mi 8', 'Birch Grove Intermediate Public 3-6 1.12 mi 6', 'John G. Mattos Elementary School Public K-6 1.14 mi 6', 'Young Adult Program Public 9-12 1.47 mi N/A', 'Mission Valley Rocp School Public 9-12 1.47 mi N/A', 'John F. Kennedy High School Public 9-12 1.49 mi 7', 'Fremont Adult Public n/a 1.5 mi N/A', 'G. M. Walters Junior High School Public 7-8 1.66 mi 5', 'Glenmoor Elementary School Public K-6 1.67 mi 7', 'Tom Maloney Elementary School Public K-6 1.74 mi 7', 'John Blacow Elementary School Public K-6 1.8 mi 5', 'Brier Elementary School Public K-6 1.83 mi 6', 'E. L. Musick Elementary School Public K-6 1.89 mi 4', 'Steven Millard Elementary School Public K-6 1.93 mi 8']",https://www.walkscore.com/score/loc/lat=37.695019/lng=-121.891894/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,61
Single Family Residence,"$1,728,888 ","11030 Inspiration Cir, Dublin, CA 94568",5 beds | 4/1 bath | year built in: 2000,"4,082","EXCEPTIONAL VIEWS - premium lot! Residing in the desirable West Dublin Hills, this former model home sits atop a hillside overlooking most of the Tri-Valley, with no rear neighbors! The spacious kitchen with nook has views and offers a large center island, stainless steel appliances, designer cabinets, granite counters, and a walk-in pantry. There are three master suites in the home - one downstairs currently as an office, with the spacious grand master suite and smaller master suite upstairs. The grand master suite has its own fireplace and French doors opening to a large balcony overlooking the valley.  The backyard paradise has a sparkling pool, outdoor kitchen, and plenty of gardening space. Pre-paid SOLAR lease until 2037, high ceilings, 3-car garage, and a powder room downstairs in addition to the office’s private full bathroom. Hiking trails, community parks, top-rated schools, shopping and restaurants are nearby. Short drive to BART and I-580/I-680 freeways.","['MLS # : BE40893146', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s)', 'Kitchen : Dishwasher, Oven - Double, Oven Range - Gas,  Refrigerator, Breakfast Bar, Breakfast Nook, Countertop - Stone, Eat In Kitchen,  Island,  Pantry,  Updated', 'Dining Room : Formal Dining Room', 'Family Room : Separate Family Room', 'Fireplace : Gas Burning', 'Flooring : Carpet - Wall to Wall,  Tile', 'Laundry : In Laundry Room', 'Cooling : Multi-Zone', 'Heating : Heating - 2+ Zones', 'Roof : Tile', 'Foundation : Slab', 'Pool : In Ground, Pool - Yes, Spa/Hot Tub', 'Style : Spanish', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Garage: 3 Car(s)', 'Elementary District : Dublin Unified', 'High School District : Dublin Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $78', 'Complex Amenities : Garden / Greenbelt/ Trails', 'Zoning : -']",https://www.mlslistings.com/property/be40893146/11030-inspiration-cir-dublin-ca-94568/10431211,lat=37.7049793 | lng=-121.9543545,"['Thomas S. Hart Middle School Public 6-8 0.75 mi 9', 'Fairlands Elementary School Public K-5 0.98 mi 8', 'James Dougherty Elementary School Public K-5 1.13 mi 9', 'Donlon Elementary School Public K-5 1.21 mi 10', 'Harvest Park Middle School Public 6-8 1.44 mi 9', 'Walnut Grove Elementary School Public K-5 1.56 mi 9', 'Henry P. Mohr Elementary School Public K-5 1.76 mi 9', 'Valley High (Continuation) School Public 9-12 1.89 mi N/A', 'Lydiksen Elementary School Public K-5 1.9 mi 9', 'Dublin Adult Education Public n/a 1.91 mi N/A', 'Alisal Elementary School Public K-5 1.91 mi 7', 'Wells Middle School Public 6-8 1.92 mi 6']",https://www.walkscore.com/score/loc/lat=37.822242/lng=-122.2321073/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,10
Single Family Residence,"$1,250,000 ","2217 Marion Ave, Fremont, CA 94539",4 beds | 2 bath | year built in: 1954,"1,114","""Mission San  Jose""  Ranch style Fremont One Story Property is a  Must See!! boasts 4 bedrooms, 2 full baths .7735 F.t. Lot with a Great Patio and Many Fruit Trees in the backyard. Eleven Different type plus a grape vine and lots of rose bushes ,the oversize lot has the potential for expansion and many family gatherings. Open House 1/25 and 1/26 2-4 pm","['MLS # : BE40893179', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s),  Tile', 'Kitchen : Other, Oven Range, 220 Volt Outlet, Countertop - Tile', 'Dining Room : Other', 'Family Room : -', 'Fireplace : None', 'Flooring : Hardwood,  Tile,  Wood', 'Laundry : 220 Volt Outlet,  Other', 'Cooling : Other', 'Heating : Wall Furnace', 'Roof : Composition', 'Foundation : Raised', 'Pool : None, Pool - No', 'Style : Ranch', 'Horse Property : -', 'Garage/Parking : No Garage, Off-Street Parking,  Other, Garage: 0 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/be40893179/2217-marion-ave-fremont-ca-94539/10431567,lat=37.5338902 | lng=-121.9417337,"['Piedmont Adult Education Public n/a 0.08 mi N/A', 'Piedmont Middle School Public 6-8 0.1 mi 10', 'Millennium High Alternative School Public 9-12 0.11 mi N/A', 'Piedmont High School Public 9-12 0.11 mi 10', 'Wildwood Elementary School Public K-5 0.24 mi 9', 'Havens Elementary School Public K-5 0.24 mi 9', 'Beach Elementary School Public K-5 0.78 mi 9', 'Crocker Highlands Elementary School Public K-5 0.8 mi 10', 'Piedmont Avenue Elementary School Public K-5 1.03 mi 2', 'Oakland High School Public 9-12 1.2 mi 2', 'Montclair Elementary School Public K-5 1.23 mi 9', 'Hillcrest Elementary School Public K-8 1.27 mi 9', 'Edna Brewer Middle School Public 6-8 1.29 mi 6', 'Glenview Elementary School Public K-5 1.38 mi 6', 'Oakland Technical High School Public 9-12 1.38 mi 7', 'Cleveland Elementary School Public K-5 1.4 mi 7', 'Thornhill Elementary School Public K-5 1.49 mi 9', 'Bella Vista Elementary School Public K-5 1.55 mi 5', 'Westlake Middle School Public 6-8 1.62 mi 1', 'Emerson Elementary School Public K-5 1.63 mi 1']",https://www.walkscore.com/score/loc/lat=37.766165/lng=-122.129067/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,38
Single Family Residence,"$2,200,000 ","916 Mingoia St, Pleasanton, CA 94566",5 beds | 4/1 bath | year built in: 2007,"3,892","French Provincal inspired estate borders vineyard in Pleasanton’s Avignon South neighborhood. Mt. Diablo, hillside views. 3,892 sf. 5 bds, 4.5 bths. on .31 acres. Like-new condition. Centex built William Hezmalhalch design. Distressed hdwd, travertine flrs. Tray ceilings, plantation shutters. Formal living rm w/frpl. Dining rm, butler’s pantry, wine closet. Gourmet kitchen w/granite counters, tumbled tile bksplash, island, stainless farmsink. Wolf 6-burner cooktop & dual ovens, SubZero French dr, glass-faced frig, wine frig. KitchenAid DW. Casual dining & fam rm w/frpl. French drs. to bkyd travertine patio, pergola, gardens, fountain. Master suite, frpl, slate tile bthrm flr, travertine counters, jetted tub, shower surround. Dual walk-in closets. Tankless wtr htr, dual HVAC, 4-zoned surround sound, built-in solar roof tiles, 2 2-car garages. Less than 3 miles to downtown Pleasanton. Easy access to freeways, ACE train, BART, top-rated schools and scenic Livermore Valley Wine Country.","['MLS # : BE40893136', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s), Solid Surface, Stall Shower(s),  Tile', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave, Oven - Built-In, Oven - Double, Oven - Self Cleaning, Oven Range - Gas,  Refrigerator, Breakfast Bar, Countertop - Stone, Eat In Kitchen, Hookups - Ice Maker,  Island, Kitchen/Family Room Combo,  Pantry', 'Dining Room : Formal Dining Room', 'Family Room : -', 'Fireplace : Family Room, Gas Burning, Living Room, Master Bedroom, Raised Hearth', 'Flooring : Carpet - Wall to Wall,  Hardwood,  Stone,  Tile', 'Laundry : 220 Volt Outlet, Hookups Only, In Laundry Room', 'Cooling : Multi-Zone', 'Heating : Gas, Heating - 2+ Zones', 'Roof : Tile', 'Foundation : Slab', 'Pool : None, Pool - No', 'Style : French', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Gate/Door Opener, Off-Street Parking, Garage: 4 Car(s)', 'Elementary District : Pleasanton Unified', 'High School District : Pleasanton Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $92', 'Complex Amenities : Other', 'Zoning : -']",https://www.mlslistings.com/property/be40893136/916-mingoia-st-pleasanton-ca-94566/10431110,lat=37.6571351 | lng=-121.8255237,"['Grass Valley Elementary School Public K-5 0.93 mi 2', 'Howard Elementary School Public K-5 1.26 mi 2', 'Independent Study, Sojourner Truth School Public K-12 1.34 mi 1', 'Rudsdale Continuation School Public 9-12 1.39 mi 2', 'Castlemont High Public 9-12 1.92 mi 1']",https://www.walkscore.com/score/loc/lat=37.618161/lng=-122.086465/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,2
Single Family Residence,"$979,000 ","6353 Benecia Ave, Newark, CA 94560",3 beds | 2 bath | year built in: 1979,"1,372","Get the best of both worlds with this charming single-story 3 BR home in a commuter’s dream location, close to all major Silicon Valley companies and entertainment! This lovely home features Pergo floors, newer carpet (3 years old), newer furnace & water heater (updated 2015), & a custom remodeled kitchen that includes newer granite countertops, appliances, and cabinets. Both bathrooms have been remodeled with new tub & shower. Master bath has a new shower with jets. Roof & windows were updated in 2000. Two miles away from Tesla facility & Silliman Activity Center. Minutes away from a future Facebook campus. Close to i-880, 84, 92 & 101 for easy access to Facebook, Tesla, Stanford & all Silicon Valley Employment Opportunities! On weekends, enjoy access to excellent theaters & restaurants. Just minutes to BART, all 3 local hospitals, & all 3 international airports. Some photos are virtually staged.","['MLS # : EB40893152', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s),  Tile, Updated Bath(s)', 'Kitchen : Cooktop - Electric,  Dishwasher, Garbage Disposal,  Microwave,  Refrigerator, 220 Volt Outlet, Countertop - Stone,  Updated', 'Dining Room : Dining Area', 'Family Room : Separate Family Room', 'Fireplace : Living Room', 'Flooring : Carpet - Wall to Wall,  Laminate,  Linoleum,  Tile', 'Laundry : Laundry Area - In Unit', 'Cooling : None', 'Heating : Gravity', 'Roof : Composition', 'Foundation : Slab', 'Pool : None, Pool - No', 'Style : Traditional', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Gate/Door Opener, Garage: 2 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/eb40893152/6353-benecia-ave-newark-ca-94560/10431271,lat=37.5218607 | lng=-122.0089537,"['Mount Eden High School Public 9-12 0.55 mi 6', 'Palma Ceia Elementary School Public K-6 0.63 mi 6', 'Lorin A. Eden Elementary School Public K-6 0.86 mi 3', 'Ruus Elementary School Public K-6 0.95 mi 3', 'Martin Luther King, Jr. Middle School Public 7-8 1.26 mi 6', 'Eldridge Elementary School Public K-6 1.3 mi 5', 'Eden Area Rop School Public 10-12 1.32 mi N/A', 'Tyrrell Elementary School Public K-6 1.47 mi 3', 'Southgate Elementary School Public K-6 1.52 mi 7', 'Glassbrook Elementary School Public K-6 1.61 mi 2', 'Alvarado Elementary School Public K-5 1.65 mi 6', 'Schafer Park Elementary School Public K-6 1.72 mi 5', 'Eden Gardens Elementary School Public K-6 1.79 mi 4', 'Cesar Chavez Middle School Public 7-8 1.85 mi 2', 'Alvarado Middle School Public 6-8 1.87 mi 6', 'Anthony W. Ochoa Middle School Public 7-8 1.92 mi 5']",https://www.walkscore.com/score/loc/lat=37.8593368/lng=-122.2866772/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,81
Townhouse,"$825,000 ","4164 Veneto Ct, Pleasanton, CA 94588",3 beds | 2/1 bath | year built in: 1997,"1,503","Desirable Siena community. Situated at the end of the court with a grass area nearby. Super quiet location. Northeast facing. Designer touches throughout. This two story highly updated townhouse style home offers 3 bedrooms/2.5 bathrooms with 1,503 sqft aprox living area, granite countertops and high end cabinetry in the kitchen, stainless steel appliances, hardwood floors throughout downstairs, kitchen pantry, lots of windows, high ceilings and inside laundry. Sizable backyard deck area. Walk to BART, parks, shopping and Iron Horse trail. Close to business park and easy freeway access. Top-rated Pleasanton schools.","['MLS # : BE40893154', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s), Solid Surface,  Tile', 'Kitchen : Dishwasher,  Microwave, Oven - Built-In, Oven Range - Gas, Breakfast Bar, Countertop - Stone, Eat In Kitchen,  Pantry', 'Dining Room : Dining Area', 'Family Room : -', 'Fireplace : Gas Burning, Living Room', 'Flooring : Carpet - Wall to Wall,  Hardwood,  Tile', 'Laundry : In Laundry Room', 'Cooling : Ceiling Fan, Central -1 Zone', 'Heating : Forced Air', 'Roof : Tile', 'Foundation : Slab', 'Pool : Community Facility, Pool - No', 'Style : Contemporary', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Gate/Door Opener, Garage: 2 Car(s)', 'Elementary District : Pleasanton Unified', 'High School District : Pleasanton Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $232', 'Complex Amenities : Community Pool, Garden / Greenbelt/ Trails,  Playground', 'Zoning : -']",https://www.mlslistings.com/property/be40893154/4164-veneto-ct-pleasanton-ca-94588/10431305,lat=37.695019 | lng=-121.891894,"['Longfellow Arts And Technology Middle School Public 6-8 0.37 mi 5', 'Rosa Parks Environmental Science Magnet School Public K-5 0.62 mi 7', 'Berkeley Technology Academy Public 10-12 0.82 mi 2', 'Malcolm X Elementary School Public K-5 0.86 mi 6', 'Washington Elementary School Public K-5 0.94 mi 7', 'Berkeley Adult Public n/a 1.0 mi N/A', 'Berkeley High School Public 9-12 1.08 mi 8', 'Leconte Elementary School Public K-5 1.34 mi 6', 'Jefferson Elementary School Public K-5 1.36 mi 8', 'Sankofa Academy Public PK-5 1.49 mi 1', 'Berkeley Arts Magnet at Whittier School Public K-5 1.49 mi 8', 'Willard Middle School Public 6-8 1.54 mi 7', 'Anna Yates Elementary School Public K-8 1.57 mi 2', 'Martin Luther King Middle School Public 6-8 1.6 mi 8', 'Emery Secondary School Public 9-12 1.67 mi 4', 'Peralta Elementary School Public K-5 1.69 mi 8', 'Emerson Elementary School Public K-5 1.96 mi 7']",https://www.walkscore.com/score/loc/lat=37.8158151/lng=-122.2573463/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,50
Single Family Residence,"$3,495,000 ","136 Hazel Ln, Piedmont, CA 94611",5 beds | 4 bath | year built in: 1937,"4,059","Perfectly located in the center of town on a quiet cul-du-sac this elegant Miller Warnecke designed home offers beautiful period details. This home welcomes you with a gracious foyer with dramatic staircase. 136 Hazel Lane includes a cozy wood paneled office/den, living room with soaring ceilings and dining room that opens to lovely deck. The spacious chefs kitchen includes marble countertops and island, limestone flooring with radiant heating, custom cabinets,  6 burner Dynasty gas range with griddle, wet bar with wine refrigerator and much more. 5 bedrooms including master suite with luxurious bathroom; custom designed marble, steam shower and radiant floor heat. The home theater/rumpus room offer the perfect place for family movie night.  Close to top-rated K-12 Piedmont schools, Mulberry’s Market and transportation.","['MLS # : EB40893170', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s), Stall Shower(s),  Tile,  Tub', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave, Oven - Double, Oven Range - Built-In, Oven Range - Gas,  Refrigerator,  Dryer,  Washer, Countertop - Stone, Eat In Kitchen,  Island', 'Dining Room : Formal Dining Room', 'Family Room : -', 'Fireplace : Brick,  Insert, Living Room,  Other', 'Flooring : Carpet - Wall to Wall,  Hardwood,  Stone', 'Laundry : 220 Volt Outlet, In Basement, In Laundry Room', 'Cooling : None', 'Heating : Forced Air,  Other', 'Roof : Wood', 'Foundation : -', 'Pool : None, Pool - No', 'Style : Tudor', 'Horse Property : -', 'Garage/Parking : Access - Interior, Attached Garage,  Garage, Garage: 2 Car(s)', 'Elementary District : Piedmont City Unified', 'High School District : Piedmont City Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/eb40893170/136-hazel-ln-piedmont-ca-94611/10431428,lat=37.822242 | lng=-122.2321073,"['Westlake Middle School Public 6-8 0.16 mi 1', 'Street Academy (Alternative) Public 9-12 0.47 mi N/A', 'Beach Elementary School Public K-5 0.83 mi 9', 'Piedmont Avenue Elementary School Public K-5 1.03 mi 2', 'Hoover Elementary School Public K-5 1.06 mi 1', 'Cleveland Elementary School Public K-5 1.08 mi 7', 'Oakland Technical High School Public 9-12 1.12 mi 7', 'Mcclymonds High School Public 9-12 1.18 mi 2', 'Oakland Adult And Career Education Public n/a 1.2 mi N/A', 'Edward Shands Adult Public n/a 1.2 mi N/A', 'Lincoln Elementary School Public K-5 1.24 mi 7', 'Oakland International High School Public 9-12 1.24 mi 1', 'Wildwood Elementary School Public K-5 1.26 mi 9', 'Young Adult Program Public n/a 1.28 mi N/A', 'Emerson Elementary School Public K-5 1.31 mi 1', 'Dewey Academy Public 9-12 1.33 mi N/A', 'Gateway To College at Laney College School Public 9-12 1.34 mi 1', 'Oakland High School Public 9-12 1.36 mi 2', 'Millennium High Alternative School Public 9-12 1.37 mi N/A', 'La Escuelita Elementary School Public K-8 1.38 mi 2']",https://www.walkscore.com/score/loc/lat=37.6601491/lng=-121.8555571/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,55
Townhouse,"$689,000 ","40 Heritage, Oakland, CA 94605",3 beds | 2/1 bath | year built in: 1977,"1,757","Perched in the Oakland hills, but with easy access, this townhome lives more like a house.  The coveted end unit has nearly 1800 square feet and offers an open concept style living space which includes a family room and is great for entertaining.  The main floor opens to the level backyard providing a sense of privacy for the indoor-outdoor California lifestyle.  It includes a patio to enjoy alfresco dining or lounging, and enough space for your urban garden.  For those hot summer days you can choose to either stay home in the air conditioning or wonder down to the community pool. The townhouse also offers a fireplace, large picture windows framing views to the yard, a master suite with vaulting ceilings, and a two car garage with interior access.  You’ll enjoy updated kitchen, bathrooms and other improvements done with energy efficiencies in mind. Near parks, trails, riding stables, and the Sequoyah golf course.  Easy access to 580, and only about five miles to two BART stations.","['MLS # : MR40893175', 'MLS Source : MAXEBRDI', 'Days on Site : 1', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s), Solid Surface,  Tile, Updated Bath(s)', 'Kitchen : Dishwasher, Garbage Disposal, Oven - Built-In, Oven Range - Gas,  Refrigerator,  Dryer,  Washer, Countertop - Stone,  Updated', 'Dining Room : -', 'Family Room : Separate Family Room', 'Fireplace : Brick', 'Flooring : Laminate,  Tile', 'Laundry : In Garage', 'Cooling : Central -1 Zone, Whole House Fan', 'Heating : Forced Air', 'Roof : Tile', 'Foundation : Slab', 'Pool : Community Facility, Pool - Yes', 'Style : Contemporary', 'Horse Property : -', 'Garage/Parking : Access - Interior, Attached Garage,  Garage, Gate/Door Opener, Guest / Visitor Parking, Garage: 2 Car(s)', 'Elementary District : Oakland Unified', 'High School District : Oakland Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $455', 'Complex Amenities : Club House, Community Pool, Garden / Greenbelt/ Trails', 'Zoning : -']",https://www.mlslistings.com/property/mr40893175/40-heritage-oakland-ca-94605/10431522,lat=37.766165 | lng=-122.129067,"['Vintage Hills Elementary School Public K-5 0.3 mi 10', 'Valley View Elementary School Public K-5 0.44 mi 8', 'Pleasanton Adult And Career Education Public n/a 1.11 mi N/A', 'Amador Valley High School Public 9-12 1.13 mi 9', 'Village High School Public 9-12 1.13 mi N/A', 'Alisal Elementary School Public K-5 1.24 mi 7', 'Pleasanton Middle School Public 6-8 1.45 mi 8', 'Phoebe Apperson Hearst Elementary School Public K-5 1.67 mi 10', 'Harvest Park Middle School Public 6-8 1.84 mi 9', 'Walnut Grove Elementary School Public K-5 1.87 mi 9']",https://www.walkscore.com/score/loc/lat=37.710384/lng=-121.845773/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,4
