property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info
Single Family Residence,"$183,500 ","205 California St, Gridley, CA 95948",2 beds | 1 bath | year built in: 1951,872,"Nice 2 bedroom 1 bath home located on large corner lot in Gridley, close to schools.  Large fenced back yard, with a small work shed. Home has had some updating throughout.",Laundry : Other
Manufactured In Park,"$74,500 ","9391 California Ave #1, Riverside, CA 92503",2 beds | 2 bath | year built in: 1970,"1,368","Fully renovated including laminated floor,kitchen  granite counter top, stainless appliances, microwave, dishwater, double door refrigerator, washer and dryer, new pluming, new garbage disposal, new water heater, renovated roof, new paint inside and outside, water purifier, and new large size storage shed.",Cooling : Central Forced Air
Residential Income,"$2,940,000 ","6767 California St, Winton, CA 95388",- beds | - bath | year built in: 1900,-,Located in Winton. Owner is upgrading each unit as it becomes available. Includes a coin operated laundry.,Heating : -
Condominium,"$569,000 ","1406 S California Ave C, Monrovia, CA 91016",2 beds | 3 bath | year built in: 2009,"1,520","Situated in desired area of Monrovia, this 2-story, 2 bedroom, 3 bath offers an open floor plan with high-vaulted ceilings, an abundance of natural light and lots of great features.  Each floor has one bedroom and is ideal for privacy.  The second floor boasts the living area, dining and kitchen perfect for entertaining.  The kitchen is equipped with stainless steel appliances, quartz countertops and ample cabinets.  Spacious Master Suite with large walk-in closet and cozy balcony.  2-car attached (finished garage) with overhead storage racks.  Some of the great features include: Bamboo hardwood floors on 2nd floor, centralized ethernet and cable wiring closet, security screen door on 1st level at bedroom, luxury vinyl flooring on the 1st floor, MyQ smart garage hub, Ring Doorbell, water purifier, tankless water heater and shutters in both bedrooms.  HOA Amenities include: BBQ area, gated complex, and guest parking. Conveniently located North of the 210 freeway within close proximity to Old Town Monrovia, and the Metro Gold Line. Move-in ready and a MUST SEE!",Roof : -
Manufactured Home,"$114,900 ","24515 California Ave #18, Hemet, CA 92545",2 beds | 2 bath | year built in: 1977,"1,344","NO SPACE RENT! Comfortable home surrounded by hillsides and beautiful view of the Hemet Valley.  Nestled in the hills of beautiful Rhinehart Canyon, this home is surrounded by the beauty of nature and still close to shopping. This 2 bedroom, 2 bath home features recent upgrades throughout.  Most of home is drywall.  Beautiful laminate flooring throughout.  Kitchen has granite countertops, 5 burner stainless cook top, stainless steel sink and eating area in kitchen. The Living Room adjoins the dining area with built in china cabinet; lots of windows give the home plenty of natural light. There is a cozy den off the kitchen, great for watching your favorite shows and relaxing; has sliding door to covered patio area. Guest Bath features double sized shower and granite counters.  The Guest Bedroom provides nice area for your guests.   The Master Bedroom is spacious and has mirrored closet doors.  The adjoining Master Bath has beautiful granite counters, dual sinks, an over-sized tub for relaxing, and a separate shower.  Covered carport and also covered patio area. Backyard has valley views and fenced area with room for garden, etc.  Shed also included.  Homes are staggered so you have a more separated feeling.  Own 1 of 62 shares of Maze Stone Village Corp. s",Foundation : -
Manufactured In Park,"$70,000 ","9391 California Ave #112, Riverside, CA 92503",2 beds | 2 bath | year built in: 1974,"1,344","Location Location Location!!! This unit is located at the back of the community where it is nice and quiet. It comes with an open concept layout, center kitchen island, 2 bed and 2 bath, small shed, two citrus fruit trees, large patio/porch.",Pool : None
Condominium,"$878,000 ","413 California St C, Arcadia, CA 91006",3 beds | 2/1 bath | year built in: 2019,"1,565","Welcome to California Garden a Newly Built 20 Unit Gated Condo Community in the beautiful city of Arcadia! You have two interior finish styles to choose from Contemporary and Traditional. 3 Bedrooms and 2.5 Bathrooms, attached underground garage parking and units starting at 1,560sqft up to 1,931sqft of living area. Additional Features:

•Kitchen with Jenn-Air Appliances
•Additional Secured Guest Parking
•Marble Kitchen Countertop & Backsplash
•Closets with custom built-in 
•Quartz Bathroom Countertops
•24hr Surveillance System",Style : -
Condominium,"$878,000 ","415 California St A, Arcadi#A, CA 91006",3 beds | 2/1 bath | year built in: 2019,"1,565","Welcome to California Garden a Newly Built 20 Unit Gated Condo Community in the beautiful city of Arcadia! You have two interior finish styles to choose from Contemporary and Traditional. 3 Bedrooms and 2.5 Bathrooms, attached underground garage parking and units starting at 1,560sqft up to 1,931sqft of living area. Additional Features:

•Kitchen with Jenn-Air Appliances
•Additional Secured Guest Parking
•Marble Kitchen Countertop & Backsplash
•Closets with custom built-in 
•Quartz Bathroom Countertops
•24hr Surveillance System",Horse Property : -
Condominium,"$868,000 ","415 California St C, Arcadia, CA 91006",3 beds | 2/1 bath | year built in: 2019,"1,560","Welcome to California Garden a Newly Built 20 Unit Gated Condo Community in the beautiful city of Arcadia! You have two interior finish styles to choose from Contemporary and Traditional. 3 Bedrooms and 2.5 Bathrooms, attached underground garage parking and units starting at 1,560sqft up to 1,931sqft of living area. Additional Features:

•Kitchen with Jenn-Air Appliances
•Additional Secured Guest Parking
•Marble Kitchen Countertop & Backsplash
•Closets with custom built-in 
•Quartz Bathroom Countertops
•24hr Surveillance System",Garage/Parking : Garage: 1 Car(s)
Condominium,"$880,000 ","415 California St B, Arcadia, CA 91006",3 beds | 2/1 bath | year built in: 2019,"1,561","Welcome to California Garden a Newly Built 20 Unit Gated Condo Community in the beautiful city of Arcadia! You have two interior finish styles to choose from Contemporary and Traditional. 3 Bedrooms and 2.5 Bathrooms, attached underground garage parking and units starting at 1,560sqft up to 1,931sqft of living area. Additional Features:

•Kitchen with Jenn-Air Appliances
•Additional Secured Guest Parking
•Marble Kitchen Countertop & Backsplash
•Closets with custom built-in 
•Quartz Bathroom Countertops
•24hr Surveillance System",Elementary District : -
Land,"$950,000 ","26677 California Ave, Hemet, CA 92545",- beds | - bath | year built in: -,-,Welcome the the Hemet Valley!! This one of a kind opportunity to own your very own mountain top! Great panoramic views from this altitude. The property is located on a well established neighborhood. There is a water meter connected. Fronting California Ave. you have a good size graded area that is read for development. From that area you will have access to the top of the mountain via a dirt road that has been recently graded and widened. From the top you will have an eagles view of the Hemet and San Jacinto area. You will also be able to view Diamond Valley Lake.,High School District : -
Single Family Residence,"$290,000 ","12010 California St, Yucaipa, CA 92399",3 beds | 1 bath | year built in: 1914,"1,088","Updated 3 bedroom 1 bath home in desirable upper Yucaipa location. Large, flat usable lot. Home has nice front deck and has been updated with newer windows, flooring, kitchen and updated bathroom along with nice rock fireplace in the living room. Also includes inside laundry, separate dining area and one car garage. Walking distance to shops and restaurants in Old Town Yucaipa.",Unit Levels : -
Manufactured In Park,"$34,000 ","950 California St #40, Calimesa, CA 92320",2 beds | 1 bath | year built in: 1970,900,Floor plan is flowing and comfortable.   Needs someone to make it their own,Sewer : -
Single Family Residence,"$225,000 ","1237 California St, Coalinga, CA 93210",4 beds | 2 bath | year built in: 1959,"2,040","Location, Location, Location! This wonderful home is located across from the elementary schools and gives wide open views. You will love the spacious floor plan that offers 4 bedrooms or 3 bedrooms and a game room/family room, 2 baths and a huge living room. The kitchen and dining area allows seamless entertaining with a cozy fireplace. The newer dual pane windows, tile flooring in living room, dining and kitchen areas, copper plumbing, and central heating and cooling are valuable amenities. You will not want to miss this one!  As of 12/18/2019 the pool is up and running with new tile. Plaster, light, equipment and pool sweep, and a warranty,  simply beautiful!",Water : -
Residential Income,"$5,650,000 ","628 W California Ave, Vista, CA 92083",- beds | - bath | year built in: 1980,-,"The Las Brisas Apartments is a twenty-two unit multifamily property located in the City of Vista. This asset offers a desirable unit mix of mostly two bedroom units. The property sits on a large lot with a total of 1.43 acres and was re-landscaped with drought resistant plants and drip irrigation. Las Brisas has significant recent renovations including all new air conditioners, new exterior lighting, exterior paint and new asphalt in the rear creating 23 additional parking spaces. The property now has 26 garages and 33 open spaces for a total of 59 parking spaces. Designs for a gazebo, BBQ, tables and benches in the rear have been completed, and work on this is planned to start soon. Twenty of the twenty-two interiors have been renovated in varying degree as well. The interior renovation include new air conditioners, custom interior paint, vinyl plank flooring, new cabinets, granite counter tops, new stainless steel appliances and new vanities in the bathrooms. There is a large laundry room conveniently located on-site, and the building is separately metered for gas and electricity.
This property is in an excellent Vista location right near major retail, educational, and employment opportunities. The property is conveniently located close to CA-78 Freewa",HOA Fee : $0
Single Family Residence,"$3,850,000 ","3861 E California Bld, Pasadena, CA 91107",5 beds | 5/1 bath | year built in: 2019,"4,977","A must see brand new, special and one of the kind home situated in the distinctive neighborhood of Michillinda Park. Designed by Architect Craig Stoddard. The living room and the dining room are large and inviting, light filled with wonderful views of the outdoors. Adjacent is the family room with sliding doors that open up to the patio with a BBQ island. kitchen is well equipped with top of the line stainless steel Viking appliances, ready for the gourmet chef, plus a Viking full height wine cellar, beverage center, ample quartz island and two sinks for entertainment. Master bedroom has sitting area, balcony and a fabulous soaking tub with air jets, perfect for relaxing. Four other bedrooms also feature en suite bathrooms. The house has three fireplace and beautiful hardwood floors throughout. The house has whole house water filter system and is wired for internet. The three cars attached garage has plug in for an electric car charging. There is a dedicated area with hook ups for an RV. A large backyard can accommodate a pool with plenty of play area to enjoy. Michillinda Park is a remarkable neighborhood that is not cookie cutter in appearance, close to dining, shopping, entertaining and recreation.",Complex Amenities : -
Land,"$292,500 ","3292 N California St, San Bernardino, CA 92405",- beds | - bath | year built in: -,-,"Build your own commercial or manufacturing property on the perfect corner location. For sale is 1.1 acres of flat buildable land in
the strategical location of the corner of N California Street and Cajon Blvd. You have access to this lot via Cajon Blvd or N
California Street. Easy access to the 215 and the University Pkwy exit that leads to Cal State San Bernardino. There are tremendous possibilities with what you can do on this lot that is being sold along with the lot next to it (026807114) totaling 2.2 acres. Each lot being sold for $292,500 each. Utilities are on the street and ready to be connected. Seller will assist buyer with closing costs if needed.",Zoning : BLC3R*
Single Family Residence,"$5,250,000 ","3171 E California Bld, Pasadena, CA 91107",7 beds | 7/2 bath | year built in: 2019,"9,300","Experience Pasadena's latest French inspired masterpiece! This newly constructed 9,300 square feet French high-rise mansion sits on 30,000 square feet of land on the famous California Avenue. This is the ultimate expression of luxury nestled against the base of the San Gabriel mountains. Come explore the 7 bedrooms, 7 baths, 2 half bathrooms, and spacious kitchen which includes top of the line appliances, including a six-burner stove, double ovens, a built-in refrigerator, and a walk-in pantry. The private, gated driveway leads to a stunning front entrance with sophisticated grand double doors which leads to an impressive entrance with domed ceiling and a luxurious chandelier, and a 3-car garage. The property has beautiful stone flooring throughout the first floor and wood flooring on the second floor. The spacious master bedroom has dual walk-in closets, the bathroom comes with a bath spa, luxurious shower room, and dual vanities. The second floor, in addition to the suites, has an entertainment area, and two separate balconies overlooking the mountain view. The backyard includes a spectacular heated pool, and a spa to relax in while taking the sights.",MLS # : CRAR20011493
Residential Income,"$4,200,000 ","219 California St, Arcadia, CA 91006",- beds | - bath | year built in: 1958,-,"219 California is an 8-unit turn-key, fully upgraded apartment in the City of Arcadia, California. The property is located within the award-winning Arcadia School District. This offering presents a rare opportunity for investors to acquire a ready to operate and cash-flow property in a superb location; the property is surrounded by condominiums on all sides. The area has a superb demographics with average household income of $102,980 within a mile radius! The property is a large 8,577 square foot building and situated on a large 11,267 square feet lot. It offers excellent unit mix with ALL three bedroom and two bath units. Built in 1959, the property has been thoroughly upgraded in the past 24 months. The major systems have been completely upgraded, such as new copper plumbing, tankless water heater, new central A/C and heat in each unit, washer/dryer in each unit, new kitchen cabinet/countertops, new flooring and new bathroom, new double pane windows throughout, and so much more. The property is separately metered for electricity and gas. Each unit is large with an estimated size of 1,072 square foot (buyer to verify) and has undergone top-down renovation with new central A/C and heat, tankless water heater, new luxury wood flooring, double pane windows",MLS Source : CRMLS
Single Family Residence,"$419,000 ","6767 California Ave, Joshua Tree, CA 92252",2 beds | 2 bath | year built in: 2007,"1,376","Custom Built 2 bedroom 2 bath home, situated in the private and serene desert neighborhood Panorama Heights; just minutes form the Joshua Tree National Park east or west entrance.  This home boasts peaceful vibes with an open concept living room and kitchen area great to entertain guests or relax next to the wood burning stove.  Offering easy maintenance stamped and stained concrete floors throughout, both central heating and air conditioning as well as an evaporative cooler. Ensuite bathroom located in the master as well as outside patio access.  Also located on the property, a large 1100 sq ft detached Quonset Style steel garage; equipped with a 70 amp panel, 110 and 220 plugins, propane and water.  Entry through either of the double steel doors, with an added covered patio area facing the eastern sky to BBQ and enjoy natures amazing sunsets and relax under the stars.",Days on Site : 3
Land,"$2,680,000 ","947 E California Bld, Pasadena, CA 91106",- beds | - bath | year built in: -,-,"A prime 0.32 acre vacant raw land development site for 4 luxury townhomesfor sale. 947 East California Boulevard in the city of Pasadena, California is
located in the South Lake Avenue District which is a few blocks from worldrenowned California Institute of Technology (Caltech). Many world class restaurants, national retail stores as well as historical and cultural attractions arenearby. Each of these luxury townhomes will be over 3,000 S.F. of living
space and with a private 2 car garage. A great investment opportunity for builders and residents. Project is in RTI status.",Bedrooms : Master Suite/Retreat
Land,"$1,000,000 ","0 California Ave, Beaumont, CA 92223",- beds | - bath | year built in: -,-,"18.87 ACRE OF CLEAN ALL USABLE LAND, IT HAS A SLIGHT SWELL FROM EAST TO WEST,  BUT EXCELLENT FERTILE SOIL, WITH A PRODUCING WELL ON SITE. IN AREA OF CUSTOM HOME SITES.",Bathrooms : Jack and Jill
Single Family Residence,"$410,000 ","11226 California Ave, Lynwood, CA 90262",2 beds | 1 bath | year built in: 1921,819,"Location, Location, Location! 2 Bedroom, 1 bath, Living room, family room, family room is been used as a bedroom, so it could be a 3 bedroom house. 2 car garage, nice private back yard with fruit trees. Close to the beautiful Plaza Mexico, shopping centers, restaurants, and the freeways. Buyers and Bayer's Agents to perform their due diligence and verify themselves regarding building square feet and permits, lot size, and other information desired. This is a Court Order Sale, so property is being sold ""AS IS"" in present physical condition with no warranties written or implied. No termite inspection will be done. All information provided is deemed reliable, but is not guaranteed and should be independently verified by the buyer.",Kitchen : -
Manufactured In Park,"$65,000 ","9391 California #32, Riverside, CA 92503",2 beds | 2 bath | year built in: 1973,"1,248","Riverside Country Club Estates. This double wide, 2 bed ,2 bath home is ready for a new owner. Located across from all the action IE pool and clubhouse you will never be late for an event! You will find this home to be turn key and very well maintained. ALL IT NEEDS IS YOU! You will love this 55+ community.","Dining Room : Breakfast Nook, Formal Dining Room"
Land,"$320,000 ","736 E California St, Ontario, CA 91761",- beds | - bath | year built in: -,-,"Valuable corner lot with double access on both street fronts power line at lot with sewer connection close by. There used to be a single family home on the lot so all utilities were present. Million dollar warehouses right across the street. Used to be zoned heavy industrial now Commercial.  Already fenced with an iron fence and gate. Double your investment as the lot next door is also for sale and you can purchase the lot next to that directly from the city of Ontario to own the entire street frontage. In the airport zone as well so close to the 10fwy the 210 fwy the 71 and the 15 and the 60! Best location. Potential for almost 18,000 square feet if all 3 lots are purchased. There is also street frontage land directly on Mission currently not for sale but it will be one day. This location is outstanding. Put of a warehouse, business or building!","Family Room : Other, Separate Family Room"
Single Family Residence,"$329,000 ","12993 California St, Yucaipa, CA 92399",3 beds | 2 bath | year built in: 1963,"1,526","This home has a very nice layout for a family. Home has permitted additional square footage added showing on assessor’s county records.  House hosts a spacious lot with an array of fruit trees, garden area, and cozy patio.  There have been several improvements and repairs within the last five years for better efficiency.  House is also located on a corner lot. Newly installed Ring doorbell.",Fireplace : Living Room
Single Family Residence,"$473,800 ","4158 California Ave, Norco, CA 92860",2 beds | 1 bath | year built in: 1945,"1,100","You said you wanted a FARMHOUSE?  You will fall in love as soon as you walk in the doors.  This is an adorable farm house and even has the original detached carriage house/garage made of old brick and mortar. The seller has completely remodeled  the inside and it is beautiful.  The living room has farmhouse ship lap on the walls, there is a new wood burning stove/fireplace and all new light wood tile floors.  The kitchen is charming!  Custom painted cabinets, farmhouse sink and copper faucets.  There is beautiful white subway tile backlash and a farmhouse center island that is new. There is a large laundry room that also has a closet for extra storage. There is a cozy covered patio that has the metal tin covering giving this home more farmhouse charm.  Do you have horses?  The owner has 2 covered stalls (negotiable there are not installed but on the property)  And a awesome dog kennel with separated backyard and  a enclosed indoor area  that includes ac.   There is tons of RV/Boat parking for all your toys and trailers or room to add a pool.  This property has it all and you will not be disappointed. LARGE FLAT USABLE LOT PERFECT FOR HORSES AND TOYS, YOU HAVE ROOM FOR ALL OF THEM!",Flooring : -
Land,"$2,600,000 ","1865 California, Oceanside, CA 92054",- beds | - bath | year built in: -,-,"IN THE HEART OF FIRE MOUNTAIN..THIS INCREDIBLE 2.4 ACRES IS BEAUTIFUL..A BUILDERS DREAM.  Already is residential deemed..could be subdivided and build beautiful homes, completely flat usable land.  Currently  has been a nursery and has water on property..Greenhouse doesn't convey..Very easy to show..left of property is a small home and parcel that are not included in 2.4 acre package. Imagine the POSSIBILITIES..Looks like US Bank offers some great loans.WHAT A REDUCTION!! Neighborhoods: Fire Mountain Other Fees: 0 Sewer: Sewer Connected","Laundry : Hookup - Gas Dryer, In Closet"
Triplex,"$629,950 ","9335 California Ave, South Gate, CA 90280",- beds | - bath | year built in: 1957,-,GREAT INVESTMENT PROPERTY IN GOOD CONDITION. COME TAKE A LOOK WON'T LAST LONG!,Cooling : Central Forced Air
Residential Income,"$715,000 ","14200 California Ave, Beaumont, CA 92223",- beds | - bath | year built in: 1949,-,"The sale consists of two adjacent parcels expanding over ± 1.34 acres total, 14200 California Ave and 14202 California Ave. Front house, 3 bed 1.5 bath has been remodeled and includes a garage that was professionally converted to a full 1 bed 1 bath apartment that is not currently permitted. Both dwellings include private yards and the house has a larger rear yard with workshop space.  There is a community well that provides water to each parcel, as well as an exclusive private well to support each parcel if needed.  The front parcel has its own septic system.  The larger rear parcel consists of a remodeled duplex with a 2 bed 1 bath and a 1 bed 1 bath.  Very nice layout within units and easy to maintain rented.  This larger piece also has its own septic system and additional land that is not being used.  Existing GSI is $63,600 before any expenses and offers an attractive cap rate with great upside.","Heating : Central Forced Air, Forced Air"
Land,"$8,000,000 ","123456 California, Winchester, CA 92596",- beds | - bath | year built in: -,-,"77.29 acres of incredible potential for investors and developers! Prime corner lot at the intersection of California, Stowe, and Stetson. Strategically situated next to the future realigned SR-79 and between the interchanges on Florida and Grand Ave. Expect high visibility and heavy traffic flow in the future as the realigned SR-79 becomes a major north-south route of San Jacinto valley, bridging I-15 and I-10. Adjacent parcel 465-080-007 (160 acres) is also for sale by the same owners. Currently under the jurisdiction of Riverside County. Zoned residential under Riverside County and Hemet's general plans, and industrial / commercial under Winchester. There's a planned Metro station on Grand Ave and a business park across the street on Stowe. Water and electricity connected. Just 2 miles north of Diamond Valley Lake. Please check with Riverside County for further details on the SR-79 Realignment Project.",Roof : -
Land,"$16,000,000 ","0 California, Hemet, CA 92545",- beds | - bath | year built in: -,-,"~240 acres of incredible potential! Prime corner location at the intersection of California, Stowe, and Stetson. Strategically situated near the future realigned SR-79 and between the interchanges on Florida Ave and Grand. High visibility with 1.3 miles of road frontage. Expect heavy traffic volume in the future as the realigned SR-79 becomes the main north-south route of San Jacinto valley, bridging I-15 and I-10. Two adjoining parcels included in the sale: 465-080-007 (160 acres) and 465-080-008 (77.29 acres). Currently under the jurisdiction of Riverside County. Zoned residential under Riverside County and Hemet's general plans, and industrial / commercial under Winchester. There's a planned Metro station on Grand Ave and a business park across the street on Stowe. Water and electricity connected. Just 2 miles north of Diamond Valley Lake. Please check with Riverside County for further details on the SR-79 Realignment Project.",Foundation : -
Land,"$339,000 ","0 California, San Jacinto, CA ",- beds | - bath | year built in: -,-,"AN ENTIRE MOUNTAIN!
Perfect for hillside Ranch, off-road, outdoor recreation, or a custom home site far from the madding crowd.
170 Acres….take a video tour!  Priced to move fast - an entire Mountain!

This includes 3 parcels that total 170.12 Acres",Pool : None
Manufactured In Park,"$33,000 ","12870 California #74, Yucaipa, CA 92399",2 beds | 1 bath | year built in: 1963,"1,000","55+ senior park.  1963. View of mountains. Sliding glass door to open floor plan. Living room combo dining area.  newer gas stove top, dual ovens and dual sinks. Partial Tile flooring. ceiling fan, partial dual pane windows.  Window AC and a evaporative cooler. Annually cleans the cooler.  newer faucet and toilet in bathroom. Rolled roof. Secluded covered patio/yard,and covered carport. enclosed porch area too for office or bonus room. 2 peach trees, fig tree and an Olive tree.  2 sheds. Washer, gas dryer and refrigerator included. Home needs some updating and TLC. Owner is not doing repairs. Mail delivery is directly to your own personal mailbox.",Style : -
Single Family Residence,"$179,900 ","620 California Ave, Needles, CA 92363",3 beds | 2/1 bath | year built in: 1955,"2,102","This house is loaded with space and potential! You walk up to from the front from a few steps, once inside you are on the 2nd level. There is the livingroom, dining room, and kitchen. Up a few more stairs is the 3rd level, with a master bed and full bath and outdoor access to deck to enjoy coffee in morning and sunsets at night. There are also 2 more rooms and another full bathroom.From the living room you go  downstairs to the ground  level of the home, there is an entire dwelling including kitchen and seperate entrance. This feature allows for possible renting to make extra income or a pool house. You have direct access to the pool from this level! Down a few more stairs and there is a basement as well!! This home is truly Unique, has so much potential for a river home or even a bed and breakfast!! Summer or winter rental? You can get very creative with this one!! Very short distance to the river where there is a park with boat launch. If you are an off-roader, many trails and riding available in the area also!",Horse Property : -
