property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info,property_href,location,near_schools,walkscore_url,walkscore
Single Family Residence,"$390,000 ","8814 Zamora Ave, Los Angeles, CA 90002",2 beds | 1 bath | year built in: 1925,"1,034","THIS PROPERTY HAS 3 BEDROOMS 1.75 BATH (AS PER PROPERTY PROFILE IT IS A 2 BED 1 FULL BATH)
BACK YARD AND A SMALL FRONT YARD
LONG DRIVE WAY FOR ABOUT 4 CARDS
ZONED R2","['MLS # : CRRS20000569', 'MLS Source : CRMLS', 'Days on Site : 22', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : -', 'Laundry : None', 'Cooling : None', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 1 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LCR2*']",https://www.mlslistings.com/property/crrs20000569/8814-zamora-ave-los-angeles-ca-90002/10407406,lat=33.9568424 | lng=-118.251269,"['Gardner Street Elementary School Public K-6 0.38 mi 7', 'Hollywood Senior High School Public 9-12 0.7 mi 5', 'Selma Avenue Elementary School Public K-6 0.89 mi 2', 'West Hollywood Opportunity School Public 7-12 1.26 mi N/A', 'Hubert Howe Bancroft Middle School Public 6-8 1.33 mi 3', 'Laurel Elementary School Public K-8 1.35 mi 4', 'Melrose Elementary School Public K-6 1.41 mi 9', 'Valley View Elementary School Public K-6 1.43 mi 10', 'Cheremoya Avenue Elementary School Public K-6 1.6 mi 7', 'Fairfax Senior High School Public 9-12 1.6 mi 5', 'Vine Street Elementary School Public K-6 1.68 mi 2', 'Whitman Continuation School Public 9-12 1.79 mi N/A', 'Joseph Le Conte Middle School Public 6-8 1.89 mi 3', 'Wonderland Avenue Elementary School Public K-5 1.91 mi 10', 'Hollywood Primary Center Public K-3 1.93 mi 7']",https://www.walkscore.com/score/loc/lat=34.0646719/lng=-118.2417047/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,70
Single Family Residence,"$1,795,000 ","1516 S Ogden Dr, Los Angeles, CA 90019",6 beds | 2/2 bath | year built in: 1931,"3,526","BEAUTIFUL DUPLEX LOCATED ON A QUIET, CLEAN, TREE LINED RESIDENTIAL STREET, IT IS IN A VERY DESIRABLE MID-CITY AREA, IN THE ""PICFAIR VILLAGE"" SECTION OF THE CITY. THE PROPERTY FEATURES THREE BEDROOMS AND TWO BATHS IN EACH UNIT, FIREPLACES, THREE ONE CAR GARAGES AND AN AMPLE BACKYARD. EASY ACCESS TO BEVERLY HILLS, CENTURY CITY, THE GROVE, MID-WILSHIRE AND THE 405 AND 10 FREEWAYS.","['MLS # : CRPW20000497', 'MLS Source : CRMLS', 'Days on Site : 22', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : Other', 'Dining Room : -', 'Family Room : -', 'Fireplace : Living Room, Wood Burning', 'Flooring : -', 'Laundry : In Laundry Room,  Other', 'Cooling : None', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage,  Other, Garage: 3 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR2']",https://www.mlslistings.com/property/crpw20000497/1516-s-ogden-dr-los-angeles-ca-90019/10407329,lat=34.0486239 | lng=-118.364859,"['Lexington Avenue Primary Center Public K-2 0.07 mi N/A', 'Lockwood Avenue Elementary School Public K-6 0.31 mi 4', 'Thomas Starr King Middle School Public 6-8 0.4 mi 7', 'Ramona Elementary School Public K-6 0.74 mi 3', 'Micheltorena Street Elementary School Public K-5 0.74 mi 6', 'Los Feliz STEMM Magnet Public K-6 0.75 mi 8', 'Dayton Heights Elementary School Public K-5 0.78 mi 5', 'Franklin Avenue Elementary School Public K-6 0.88 mi 8', 'Kingsley Elementary School Public K-5 0.91 mi 5', 'John Marshall Senior High School Public 9-12 1.15 mi 8', 'Commonwealth Avenue Elementary School Public K-5 1.24 mi 5', 'Alexandria Avenue Elementary School Public K-5 1.31 mi 2', 'Dr. Sammy Lee Medical And Health Science Magnet Elementary Public K-5 1.33 mi 7', 'Virgil Middle School Public 6-8 1.37 mi 5', 'Mayberry Street Elementary School Public K-6 1.39 mi 1', 'Frank Del Olmo Elementary School Public K-6 1.45 mi 5', 'Harvard Elementary School Public K-5 1.52 mi 4', 'Helen Bernstein High School Public 9-12 1.54 mi 2', 'Ivanhoe Elementary School Public K-5 1.58 mi 10', 'Grant Elementary School Public K-6 1.6 mi 4']",https://www.walkscore.com/score/loc/lat=33.9461305/lng=-118.2879942/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,83
Condominium,"$895,000 ","2939 Leeward Ave #309, Los Angeles, CA 90005",2 beds | 2 bath | year built in: 2019,"1,436","Golden Galaxy, a brand new development of 80 luxury condominiums in Koreatown, Los Angeles, is proud to put their new units on the market.  With a range of one-, two-, and three-bedroom plans with well-designed layouts to choose from, many units also come equipped with a patio or balcony.  The complex features amenities including a pool, gym, barbequing facility and more, and has an underground parking structure that provides a total of 200 parking stalls, numerous bike racks, and 9 electric vehicle charging stations. This development is suitable for family-style living as well a great investment opportunity. Unit 309 is a 2-bedroom+1Den and 2-bath condo, the only one in the entire complex. This spacious unit boasts 1,436 square feet and is more than enough for a large family or several roommates to share.  The open kitchen design is like a playground for the inner chef.  All units offers walk-in closet upgrade as an upgrading option. Sales Office open 11am-6pm Monday- Saturday, 12pm -5pm Sundays, Sale Office Located in Unit #416. Pictures are not the actual unit but the model unit.","['MLS # : CRWS20000999', 'MLS Source : CRMLS', 'Days on Site : 23', 'Bedrooms : Master Suite/Retreat', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : Other', 'Fireplace : None', 'Flooring : -', 'Laundry : -', 'Cooling : Central Forced Air', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : Community Facility', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $380', 'Complex Amenities : Community Pool', 'Zoning : -']",https://www.mlslistings.com/property/crws20000999/2939-leeward-ave-309-los-angeles-ca-90005/10407997,lat=34.0587432 | lng=-118.2878452,"['Compton Avenue Elementary School Public K-5 0.28 mi 2', 'Maxine Waters Employment Prep Center Public n/a 0.28 mi N/A', 'Lovelia P. Flournoy Elementary School Public K-5 0.35 mi 1', 'Dorothy V. Johnson Community Day School Public 7-12 0.35 mi 1', 'Edwin Markham Middle School Public 6-8 0.37 mi 1', 'One Hundred Twelfth Street Elementary School Public K-5 0.38 mi 1', 'Thomas Riley High School Public 7-12 0.38 mi N/A', 'Middle College High School Public 9-12 0.63 mi 8', 'One Hundred Ninth Street Elementary School Public K-5 0.65 mi 1', 'Grape Street Elementary School Public K-5 0.73 mi 1', 'Ninety-Sixth Street Elementary School Public K-6 0.77 mi 4', 'Ninety-Ninth Street Elementary School Public K-6 0.78 mi 5', 'Florence Griffith Joyner Elementary School Public K-5 0.8 mi 2', 'One Hundred Sixteenth Street Elementary School Public K-5 0.99 mi 3', 'Carver Elementary School Public PK-8 0.99 mi 2', 'King/Drew Medical Magnet High School Public 9-12 1.01 mi 7', 'David Starr Jordan Senior High School Public 9-12 1.12 mi 2', 'Weigand Avenue Elementary School Public K-5 1.19 mi 2', 'Ritter Elementary School Public K-5 1.29 mi 4', 'Judith F. Baca Arts Academy Public K-6 1.29 mi 3']",https://www.walkscore.com/score/loc/lat=34.0317907/lng=-118.2129366/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,96
Condominium,"$787,000 ","2939 Leeward Ave #211, Los Angeles, CA 90005",2 beds | 2 bath | year built in: 2019,"1,262","Golden Galaxy, a brand new development of 80 luxury condominiums in Koreatown, Los Angeles, is proud to put their new units on the market.  With a range of one-, two-, and three-bedroom plans with well-designed layouts to choose from, many units also come equipped with a patio or balcony.  The complex features amenities including a pool, gym, barbequing facility and more, and has an underground parking structure that provides a total of 200 parking stalls, numerous bike racks, and 9 electric vehicle charging stations. This development is suitable for family-style living as well a great investment opportunity. Unit 211 is a 2-bedroom and 2-bath condo, the only one in the entire complex. This spacious unit boasts 1,262 square feet and is more than enough for a large family or several roommates to share.  The open kitchen design is like a playground for the inner chef.  All units offers walk-in closet as upgrading option. Sales Office open 11am-6pm Monday- Saturday, 12pm -5pm Sundays, Sale Office Located in Unit #416. Pictures are not the actual unit but the model unit.","['MLS # : CRWS20000997', 'MLS Source : CRMLS', 'Days on Site : 23', 'Bedrooms : Master Suite/Retreat', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : Other', 'Fireplace : None', 'Flooring : -', 'Laundry : -', 'Cooling : Central Forced Air', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : Community Facility', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $380', 'Complex Amenities : Community Pool', 'Zoning : -']",https://www.mlslistings.com/property/crws20000997/2939-leeward-ave-211-los-angeles-ca-90005/10407990,lat=34.0587432 | lng=-118.2878452,"['Castelar Street Elementary School Public K-5 0.09 mi 5', 'E. Manfred Evans Community Adult Public n/a 0.25 mi N/A', 'Ramon C. Cortines School Of Visual And Performing Arts Public 9-12 0.41 mi 6', 'Downtown Business High School Public 9-12 0.56 mi 9', 'Ann Street Elementary School Public K-6 0.63 mi 2', 'Edward R. Roybal Learning Center Public 9-12 0.78 mi 4', 'Betty Plasencia Elementary School Public K-6 0.88 mi 5', 'Solano Avenue Elementary School Public K-6 0.94 mi 9', 'Rop Center Public n/a 1.08 mi N/A', 'Los Angeles Unified School District Rocp Public n/a 1.08 mi N/A', 'Contreras Learning Center-School Of Social Justice Public 9-12 1.21 mi 2', 'Albion Street Elementary School Public K-6 1.23 mi 4', 'Gratts Learning Academy For Young Scholars (Glays) Public K-6 1.25 mi 2', 'Miguel Contreras Learning Complex School Public 9-12 1.25 mi 4', 'Contreras Learning Center-Los Angeles School Of Global Studies Public 9-12 1.25 mi 2', 'Academic Leadership Community School Public 9-12 1.25 mi 3', 'Belmont Senior High School Public 9-12 1.26 mi 3', 'Sal Castro Middle School Public 6-8 1.26 mi 2', 'Logan Street Elementary School Public K-8 1.34 mi 2', 'Felicitas And Gonzalo Mendez High Public 9-12 1.37 mi 2']",https://www.walkscore.com/score/loc/lat=34.037859/lng=-118.297686/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,96
Condominium,"$535,000 ","7270 Hillside Ave #106, Los Angeles, CA 90046",1 beds | 2 bath | year built in: 1965,936,"Huge Deluxe 1 bedroom 2 bathroom move-in ready condo in the Hollywood Hills located at the base of world famous Runyon Canyon Park, and atop revitalized Hollywood & Highland. This COMPLETED REMODELLED UNIT features Large living room, good sized dining area, large balcony/patio, huge NEWLY UPGRADED kitchen w/ stainless appliances, NEW floors, NEW central AC, two NEWLY REMODELLED bathrooms, excellent storage space, & huge bedroom w/ walk-in closet. The building has a pleasant community area, a private and well kempt pool and spa, secure assigned parking, and many other perquisites. The ""Key Largo"" is a 50 unit building with pool & spa, courtyard, guest parking, controlled access, and extra storage. 1 covered, gated parking space. Phenomenal location near metro subway, shopping, movies, entertainment, cafe's, restaurants, & all of the excitement of the Hollywood Hills & West Hollywood! Bring your picky buyers to this extraordinary home!","['MLS # : CRWS20000723', 'MLS Source : CRMLS', 'Days on Site : 23', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : Other', 'Fireplace : None', 'Flooring : -', 'Laundry : -', 'Cooling : Central Forced Air', 'Heating : Central Forced Air', 'Roof : -', 'Foundation : -', 'Pool : Community Facility', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 1 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $365', 'Complex Amenities : Community Pool', 'Zoning : LAR3']",https://www.mlslistings.com/property/crws20000723/7270-hillside-ave-106-los-angeles-ca-90046/10407593,lat=34.104403 | lng=-118.3484793,"['Castelar Street Elementary School Public K-5 0.09 mi 5', 'E. Manfred Evans Community Adult Public n/a 0.24 mi N/A', 'Ramon C. Cortines School Of Visual And Performing Arts Public 9-12 0.4 mi 6', 'Downtown Business High School Public 9-12 0.55 mi 9', 'Ann Street Elementary School Public K-6 0.65 mi 2', 'Edward R. Roybal Learning Center Public 9-12 0.76 mi 4', 'Betty Plasencia Elementary School Public K-6 0.87 mi 5', 'Solano Avenue Elementary School Public K-6 0.95 mi 9', 'Rop Center Public n/a 1.06 mi N/A', 'Los Angeles Unified School District Rocp Public n/a 1.06 mi N/A', 'Contreras Learning Center-School Of Social Justice Public 9-12 1.19 mi 2', 'Gratts Learning Academy For Young Scholars (Glays) Public K-6 1.24 mi 2', 'Miguel Contreras Learning Complex School Public 9-12 1.24 mi 4', 'Contreras Learning Center-Los Angeles School Of Global Studies Public 9-12 1.24 mi 2', 'Academic Leadership Community School Public 9-12 1.24 mi 3', 'Albion Street Elementary School Public K-6 1.24 mi 4', 'Belmont Senior High School Public 9-12 1.25 mi 3', 'Sal Castro Middle School Public 6-8 1.25 mi 2', 'Logan Street Elementary School Public K-8 1.33 mi 2', 'Harris Newmark Continuation School Public 9-12 1.36 mi N/A']",https://www.walkscore.com/score/loc/lat=34.075543/lng=-118.1745385/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,86
Single Family Residence,"$1,550,000 ","1179 N Virgil Ave, Los Angeles, CA 90029",2 beds | 1 bath | year built in: 1914,928,"POTENTIAL DEVELOPMENT OPPORTUNITY**, zoned LAR2. Perfect location on busy Virgil with easy access to Sunset Junction, Downtown, Echo Park, Hollywood and the 101 Freeway. And the rare 6700 square foot lot offers a HUGE backyard. This is a must see!","['MLS # : CRWS19280650', 'MLS Source : CRMLS', 'Days on Site : 23', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : -', 'Laundry : None', 'Cooling : None', 'Heating : Gas, Wall Furnace', 'Roof : Composition,  Shingle', 'Foundation : -', 'Pool : None', 'Style : Bungalow', 'Horse Property : -', 'Garage/Parking : Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR2']",https://www.mlslistings.com/property/crws19280650/1179-n-virgil-ave-los-angeles-ca-90029/10408697,lat=34.093137 | lng=-118.2868283,"['Bret Harte Preparatory Middle School Public 6-8 0.41 mi 1', 'Charles W. Barrett Elementary School Public K-5 0.44 mi 3', 'Ninety-Fifth Street Elementary School Public K-5 0.5 mi 2', 'Woodcrest Elementary School Public K-5 0.8 mi 3', 'Figueroa Street Elementary School Public K-5 0.84 mi 3', 'Manchester Avenue Elementary School Public 1-6 0.89 mi 3', 'Washington Primary Center School Public K-1 0.9 mi N/A', 'Danny J. Bakewell, Sr., Primary Center Public K 0.92 mi N/A', 'Youth Opportunities Unlimited School Public 9-12 0.97 mi N/A', 'One Hundred Seventh Street Elementary School Public K-5 1.0 mi 3', 'Dr. Owen Lloyd Knox Elementary School Public K-6 1.01 mi 3', 'Samuel Gompers Middle School Public 6-8 1.1 mi 1', 'George Washington Preparatory High School Public 9-12 1.12 mi 1', 'Boys Academic Leadership Academy Public 6-12 1.14 mi N/A', 'Ellington (Duke) High (Continuation) School Public 9-12 1.15 mi N/A', 'Ninety-Third Street Elementary School Public K-6 1.18 mi 2', 'University Pathways Medical Magnet Academy Public 9-12 1.28 mi N/A', 'La Salle Avenue Elementary School Public K-5 1.29 mi 1', 'Manhattan Place Elementary School Public K-5 1.34 mi 1', 'Academy For Multiligual Arts And Science At Mervyn M. Dymally High Public 9-12 1.35 mi 2']",https://www.walkscore.com/score/loc/lat=34.1327895/lng=-118.2028838/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,93
Residential,"$625,000 ","1409 E 108th St, Los Angeles, CA 90059",4 beds | 3 bath | year built in: 1926,"1,818","This property is a nice Multi Unit Triplex with 4 Bedrooms and 3 Bathrooms, Parking spaces, Backyard, Middle yard area for your choice of use etc. and walking distance to schools.  The two units can be rented out for extra income or family etc.  Future updates to share more about the property soon.  The main unit has lots of room and a Laundry room, Dinning area, Living room, Kitchen, Three Bedrooms etc.  Larger yard the surrounding homes.","['MLS # : CRIG20001132', 'MLS Source : CRMLS', 'Days on Site : 23', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : Other', 'Laundry : -', 'Cooling : Other', 'Heating : -', 'Roof : -', 'Foundation : Other', 'Pool : None', 'Style : Other', 'Horse Property : -', 'Garage/Parking : Common Parking Area,  Other, Parking Area, RV Access, Garage: 0 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : Other', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR2']",https://www.mlslistings.com/property/crig20001132/1409-e-108th-st-los-angeles-ca-90059/10408235,lat=33.9380247 | lng=-118.2497614,"['Sunrise Elementary School Public K-6 0.18 mi 4', 'Soto Street Elementary School Public K-6 0.25 mi 3', 'Hollenbeck Middle School Public 6-8 0.33 mi 6', 'Euclid Avenue Elementary School Public K-5 0.35 mi 4', 'STEM Academy of Boyle Heights HS Public 9-12 0.39 mi 5', 'Boyle Heights Continuation School Public 9-12 0.42 mi N/A', 'Theodore Roosevelt Senior High Public 9-12 0.52 mi 2', 'Math, Science, & Technology Magnet Academy At Roosevelt High Public 9-12 0.52 mi 7', 'Garza (Carmen Lomas) Primary Center Public K-2 0.57 mi N/A', 'Christopher Dena Elementary School Public K-6 0.67 mi 3', 'Breed Street Elementary School Public K-6 0.74 mi 4', 'Lorena Street Elementary School Public K-5 0.75 mi 3', 'First Street Elementary School Public K-6 0.83 mi 2', 'Second Street Elementary School Public K-6 0.97 mi 3', 'Metropolitan Continuation School Public 9-12 1.22 mi N/A', 'CDS Secondary School Public 6-12 1.25 mi N/A', 'Robert Louis Stevenson Middle School Public 6-8 1.25 mi 3', 'Sheridan Street Elementary School Public K-6 1.29 mi 2', 'Ramona Opportunity High School Public 7-12 1.34 mi N/A', 'Utah Street Elementary School Public K-8 1.37 mi 3']",https://www.walkscore.com/score/loc/lat=34.0119736/lng=-118.1450774/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,67
Land,"$888,888 ","616 New Depot St, Los Angeles, CA 90012",- beds | - bath | year built in: -,-,,"['MLS # : CRCV20000251', 'MLS Source : CRMLS', 'Days on Site : 23', 'Garage/Parking : -', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LV']",https://www.mlslistings.com/property/crcv20000251/616-new-depot-st-los-angeles-ca-90012/10406837,lat=34.064765 | lng=-118.241485,"['Sophia T. Salvin Special Education Center Public K-8 0.11 mi N/A', 'West Adams Preparatory High School Public 9-12 0.48 mi 2', 'Vermont Avenue Elementary School Public K-5 0.56 mi 4', 'Magnolia Avenue Elementary School Public K-6 0.68 mi 2', 'Twenty-Fourth Street Elementary School Public K-5 0.78 mi 3', 'Twelfth Street Elementary School Public K-5 0.78 mi N/A', 'John W. Mack Elementary School Public K-5 0.82 mi 1', 'Los Angeles Elementary School Public K-5 0.86 mi 5', 'Berendo Middle School Public 6-8 0.87 mi 2', 'Joseph Pomeroy Widney High School Public 6-12 0.91 mi N/A', 'Eleventh Street Elementary School Public K-5 0.94 mi N/A', 'Mariposa-Nabi Primary Center Public K-2 1.06 mi N/A', 'Leo Politi Elementary School Public K-5 1.09 mi 2', 'Norwood Street Elementary School Public K-5 1.11 mi 2', 'Lenicia B. Weemes Elementary School Public K-5 1.11 mi 2', 'Hobart Boulevard Elementary School Public K-5 1.12 mi 4', 'Frank Lanterman School Public 6-12 1.16 mi 1', 'Thirty-Second Street Usc Performing Arts Public K-12 1.22 mi 6', 'Pio Pico Middle School Public 6-8 1.24 mi 5', 'Carson-Gore Academy Of Enviornmental Studies Public K-5 1.24 mi 4']",https://www.walkscore.com/score/loc/lat=33.9308209/lng=-118.2365127/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,94
Land,"$888,888 ","876 N Bunker Hill, Los Angeles, CA ",- beds | - bath | year built in: -,-,Vacant lot. Includes 816 New Depot.,"['MLS # : CRCV20000264', 'MLS Source : CRMLS', 'Days on Site : 23', 'Garage/Parking : -', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : NL']",https://www.mlslistings.com/property/crcv20000264/876-n-bunker-hill-los-angeles-ca-/10406909,lat=34.0646719 | lng=-118.2417047,"['El Sereno Middle School Public 6-8 0.34 mi 4', 'Farmdale Elementary School Public K-5 0.35 mi 2', 'Sierra Park Elementary School Public K-6 0.54 mi 4', 'Woodrow Wilson Senior High School Public 9-12 0.75 mi 3', 'L.A. County High School For The Arts Public 9-12 0.93 mi 9', 'Cesar Chavez Elementary School Public K-6 0.99 mi 3', 'El Sereno Elementary School Public K-6 1.0 mi 6', 'Huntington Drive Elementary School Public K-6 1.09 mi 5', 'Multnomah Street Elementary School Public K-5 1.14 mi 5', 'City Terrace Elementary School Public K-5 1.26 mi 5', 'East Los Angeles Skills Center Public n/a 1.41 mi N/A', 'Fremont Elementary School Public K-8 1.42 mi 5', 'Emery Park Elementary School Public K-8 1.44 mi 6', 'Robert F. Kennedy Elementary School Public K-6 1.51 mi 3', 'Glen Alta Elementary School Public K-8 1.6 mi 5', 'Sierra Vista Elementary School Public K-6 1.63 mi 7', 'Murchison Street Elementary School Public K-6 1.67 mi 2', 'Monterey Highlands Elementary School Public K-8 1.68 mi 9', 'Pueblo De Los Angeles Continuation School Public 9-12 1.69 mi N/A', 'Abraham Lincoln Senior High School Public 9-12 1.69 mi 5']",https://www.walkscore.com/score/loc/lat=34.0392276/lng=-118.3542532/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,94
Single Family Residence,"$440,000 ","726 W 99th St, Los Angeles, CA 90044",4 beds | 1 bath | year built in: 1923,"1,128",Needs some TLC. 4 bed 1 bath home with 1 car detached garage with long driveway. Fenced yard.,"['MLS # : CRPW19287117', 'MLS Source : CRMLS', 'Days on Site : 24', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : Other', 'Flooring : -', 'Laundry : -', 'Cooling : Other', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 1 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR1']",https://www.mlslistings.com/property/crpw19287117/726-w-99th-st-los-angeles-ca-90044/10405925,lat=33.9461305 | lng=-118.2879942,"['Eagle Rock High School Public 7-12 0.19 mi 7', 'Dahlia Heights Elementary School Public K-6 0.48 mi 6', 'Rockdale Elementary School Public K-6 0.53 mi 6', 'Eagle Rock Elementary and Magnet Center Public K-6 0.56 mi 8', 'Buchanan Street Elementary School Public K-6 0.95 mi 5', 'Annandale Elementary School Public K-6 0.96 mi 2', 'Yorkdale Elementary School Public K-6 0.97 mi 6', 'Highland Park Continuation School Public 9-12 1.08 mi N/A', 'Toland Way Elementary School Public K-6 1.2 mi 3', 'Benjamin Franklin Senior High School Public 6-12 1.23 mi 6', 'Luther Burbank Middle School Public 6-8 1.45 mi 5', 'Delevan Drive Elementary School Public K-6 1.45 mi 9', 'Richard Riordan Primary Center Public K-1 1.57 mi N/A', 'Aldama Elementary School Public K-6 1.59 mi 3', 'Garvanza Elementary School Public K-6 1.59 mi 5', 'Monte Vista Street Elementary School Public 2-6 1.61 mi 2', 'Glenoaks Elementary School Public K-6 1.72 mi 6', 'San Rafael Elementary School Public K-5 1.77 mi 7', 'Glendale High School Public 9-12 1.95 mi 6']",https://www.walkscore.com/score/loc/lat=34.0089733/lng=-118.2557834/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,55
Duplex,"$699,900 ","939 Orme Ave, Los Angeles, CA 90023",- beds | - bath | year built in: 1911,-,"Welcome to this amazing duplex in the heart of Los Angeles. Located in Boyle Heights, this multi-unit property offers 2 separate units with a secure gate at the front driveway. The front unit is a craftsman style home and offers 2 bedrooms, 1 bathroom with a bonus room upstairs. This unit is roughly 1,400 sqft., a fireplace, a dining room, and a basement for storage. In the rear of the lot is a spacious 2-story unit, roughly 2,000 sqft, with a covered balcony and attached garage. As you enter the home you will be greeted with the spacious living room, tile flooring, and tons of natural lighting. The spacious kitchen has tons of countertop space and cabinets. Up the stairs, you will find 2 massive bedrooms and 1 master suite equipped with its own full bathroom. Close to Downtown LA, LAX, major freeways, transportation, and shopping. Great investment for investors and homebuyers. This is a must-see!","['MLS # : CRPW19287038', 'MLS Source : CRMLS', 'Days on Site : 25', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : Other', 'Dining Room : -', 'Family Room : -', 'Fireplace : -', 'Flooring : -', 'Laundry : -', 'Cooling : None', 'Heating : Wall Furnace', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Other, Garage: 0 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/crpw19287038/939-orme-ave-los-angeles-ca-90023/10405831,lat=34.0317907 | lng=-118.2129366,"['Montebello Park Elementary School Public K-5 0.54 mi 4', 'Joseph A. Gascon Elementary School Public K-5 0.66 mi 2', 'Rosewood Park School Public K-8 0.79 mi 3', 'Eastmont Intermediate School Public 6-8 0.83 mi 2', 'Winter Gardens Elementary School Public K-5 1.01 mi 2', 'James A. Garfield Senior High School Public 9-12 1.19 mi 6', 'Fourth Street Primary Center Public K-1 1.2 mi N/A', 'Fourth Street Elementary School Public K-5 1.26 mi 4', 'Montebello Adult Public n/a 1.3 mi N/A', 'Montebello High School Public 9-12 1.3 mi 4', 'Monterey Continuation School Public 9-12 1.36 mi N/A', 'Bandini Elementary School Public K-5 1.39 mi 5', 'Vail High (Continuation) School Public 9-12 1.53 mi N/A', 'Wilcox Elementary School Public K-5 1.53 mi 4', 'Montebello Intermediate School Public 6-8 1.58 mi 3', 'Bella Vista Elementary School Public K-5 1.63 mi 7', 'Ford Boulevard Elementary School Public K-6 1.65 mi 4', 'David Wark Griffith Middle School Public 6-8 1.67 mi 5', 'Schurr Community Adult Public n/a 1.69 mi N/A', 'Schurr High School Public 9-12 1.72 mi 5']",https://www.walkscore.com/score/loc/lat=34.1046461/lng=-118.3767344/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,81
