property_type,property_price,property_description,property_address,property_hyperlink
house for sale,"$595,000",2 Beds | 1 Bath | 756 Sq. Ft.,"3327 Meade Ave, San Diego, CA 92116",https://www.redfin.com/CA/San-Diego/3327-Meade-Ave-92116/home/5323712
house for sale,"$1,349,000","3 Beds | 2.5 Baths | 1,417 Sq. Ft.","4309 Verdigris Cir, SAN JOSE, CA 95134",https://www.redfin.com/CA/San-Jose/5945-Sorrel-Ave-95123/home/575661
house for sale,"$899,950","5 Beds | 2 Baths | 1,940 Sq. Ft.","5945 Sorrel Ave, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/1898-Naglee-Ave-95126/home/674843
house for sale,"$948,000","2 Beds | 1 Bath | 1,152 Sq. Ft.","1898 Naglee Ave, SAN JOSE, CA 95126",https://www.redfin.com/CA/San-Jose/1751-Duvall-Dr-95130/home/756590
house for sale,"$1,399,000","3 Beds | 2 Baths | 1,530 Sq. Ft.","1751 Duvall Dr, SAN JOSE, CA 95130",https://www.redfin.com/CA/Santa-Clara/2324-Park-Ave-95050/home/1685261
house for sale,"$988,000","3 Beds | 2.5 Baths | 1,622 Sq. Ft.","2324 Park Ave, SANTA CLARA, CA 95050",https://www.redfin.com/CA/San-Jose/488-Lochridge-Dr-95133/home/1723822
house for sale,"$799,000","3 Beds | 2 Baths | 1,100 Sq. Ft.","488 Lochridge Dr, San Jose, CA 95133",https://www.redfin.com/CA/San-Jose/472-Camas-Ave-95116/home/889849
house for sale,"$779,000","3 Beds | 2 Baths | 1,200 Sq. Ft.","472 Camas Ave, SAN JOSE, CA 95116",https://www.redfin.com/CA/San-Jose/1596-Singletree-Way-95118/home/890333
house for sale,"$798,888","2 Beds | 2 Baths | 1,281 Sq. Ft.","1596 Singletree Way, SAN JOSE, CA 95118",https://www.redfin.com/CA/San-Jose/1874-Harris-Ave-95124/home/1549140
house for sale,"$1,100,000","4 Beds | 2 Baths | 2,396 Sq. Ft.","1874 Harris Ave, SAN JOSE, CA 95124",https://www.redfin.com/CA/San-Jose/6032-Golden-Vista-Dr-95123/home/69365129
house for sale,"$799,777","2 Beds | 2 Baths | 1,133 Sq. Ft.","1550 Technology Dr #1035, San Jose, CA 95110",https://www.redfin.com/CA/San-Jose/2131-Oakland-Rd-95131/home/28894949
house for sale,"$1,189,000","4 Beds | 2.5 Baths | 2,165 Sq. Ft.","6032 Golden Vista Dr, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/1318-Sippola-Way-95121/home/1186834
house for sale,"$988,000","4 Beds | 4 Baths | 1,573 Sq. Ft.","2131 Oakland Rd, SAN JOSE, CA 95131",https://www.redfin.com/CA/San-Jose/4217-Voltaire-St-95135/home/1053092
house for sale,"$750,000","4 Beds | 2 Baths | 1,207 Sq. Ft.","1318 Sippola Way, SAN JOSE, CA 95121",https://www.redfin.com/CA/San-Jose/6357-Cottle-Rd-95123/home/603968
house for sale,"$1,059,000","3 Beds | 2.5 Baths | 1,532 Sq. Ft.","4217 Voltaire St, SAN JOSE, CA 95135",https://www.redfin.com/CA/San-Jose/6157-Cottle-Rd-95123/home/806908
house for sale,"$875,000","3 Beds | 2 Baths | 1,502 Sq. Ft.","6357 Cottle Rd, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/1524-Roberts-Ave-95122/home/877407
house for sale,"$960,000","3 Beds | 2 Baths | 1,536 Sq. Ft.","6157 Cottle Rd, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/2180-Sufonet-Dr-95124/home/714980
house for sale,"$795,000","3 Beds | 2 Baths | 1,252 Sq. Ft.","1524 Roberts Ave, SAN JOSE, CA 95122",https://www.redfin.com/CA/San-Jose/1762-Fumia-Dr-95131/home/691484
house for sale,"$1,050,000","3 Beds | 2 Baths | 1,171 Sq. Ft.","2180 Sufonet Dr, SAN JOSE, CA 95124",https://www.redfin.com/CA/San-Jose/1336-San-Tomas-Aquino-Rd-95130/home/757083
house for sale,"$1,395,000","4 Beds | 2.5 Baths | 2,287 Sq. Ft.","1762 Fumia Dr, SAN JOSE, CA 95131",https://www.redfin.com/CA/San-Jose/4309-Verdigris-Cir-95134/home/767461
house for sale,"$1,598,000","4 Beds | 3 Baths | 2,553 Sq. Ft.","1336 San Tomas Aquino Rd, SAN JOSE, CA 95130",https://www.redfin.com/CA/San-Jose/5945-Sorrel-Ave-95123/home/575661
house for sale,"$1,349,000","3 Beds | 2.5 Baths | 1,417 Sq. Ft.","4309 Verdigris Cir, SAN JOSE, CA 95134",https://www.redfin.com/CA/San-Jose/1898-Naglee-Ave-95126/home/674843
house for sale,"$899,950","5 Beds | 2 Baths | 1,940 Sq. Ft.","5945 Sorrel Ave, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/1751-Duvall-Dr-95130/home/756590
house for sale,"$948,000","2 Beds | 1 Bath | 1,152 Sq. Ft.","1898 Naglee Ave, SAN JOSE, CA 95126",https://www.redfin.com/CA/Santa-Clara/2324-Park-Ave-95050/home/1685261
house for sale,"$1,399,000","3 Beds | 2 Baths | 1,530 Sq. Ft.","1751 Duvall Dr, SAN JOSE, CA 95130",https://www.redfin.com/CA/San-Jose/488-Lochridge-Dr-95133/home/1723822
house for sale,"$988,000","3 Beds | 2.5 Baths | 1,622 Sq. Ft.","2324 Park Ave, SANTA CLARA, CA 95050",https://www.redfin.com/CA/San-Jose/472-Camas-Ave-95116/home/889849
house for sale,"$799,000","3 Beds | 2 Baths | 1,100 Sq. Ft.","488 Lochridge Dr, San Jose, CA 95133",https://www.redfin.com/CA/San-Jose/1596-Singletree-Way-95118/home/890333
house for sale,"$779,000","3 Beds | 2 Baths | 1,200 Sq. Ft.","472 Camas Ave, SAN JOSE, CA 95116",https://www.redfin.com/CA/San-Jose/1874-Harris-Ave-95124/home/1549140
house for sale,"$798,888","2 Beds | 2 Baths | 1,281 Sq. Ft.","1596 Singletree Way, SAN JOSE, CA 95118",https://www.redfin.com/CA/San-Francisco/1150-Folsom-St-94103/unit-4/home/12397407
house for sale,"$1,100,000","4 Beds | 2 Baths | 2,396 Sq. Ft.","1874 Harris Ave, SAN JOSE, CA 95124",https://www.redfin.com/CA/San-Francisco/1015-Ashbury-St-94117/unit-1/home/12277468
house for sale,"$1,200,000","1 Bed | 1.5 Baths | 1,200 Sq. Ft.","1150 Folsom St #4, San Francisco, CA 94103",https://www.redfin.com/CA/San-Francisco/2437-Post-St-94115/home/1260982
house for sale,"$1,798,000","2 Beds | 2 Baths | 1,884 Sq. Ft.","1015 Ashbury St #1, San Francisco, CA 94117",https://www.redfin.com/CA/San-Francisco/259-Wilson-St-94112/home/834893
house for sale,"$2,499,000","9 Beds | 3 Baths | 4,260 Sq. Ft.","2437-2441 Post St, San Francisco, CA 94115",https://www.redfin.com/CA/San-Francisco/9-Ora-Way-94131/home/1473056
house for sale,"$899,000",2 Beds | 1 Bath | 880 Sq. Ft.,"259 Wilson St, SAN FRANCISCO, CA 94112",https://www.redfin.com/CA/San-Francisco/1839-15th-St-94103/unit-452/home/2004720
house for sale,"$3,195,000","3 Beds | 3 Baths | 2,394 Sq. Ft.","9 Ora Way, San Francisco, CA 94131",https://www.redfin.com/CA/San-Francisco/579-16th-Ave-94121/home/613907
house for sale,"$799,000",1 Bed | 1 Bath | 733 Sq. Ft.,"1839 15th St #452, San Francisco, CA 94103",https://www.redfin.com/CA/San-Francisco/25-Ottawa-Ave-94112/home/1753252
house for sale,"$1,799,000","3 Beds | 1.25 Baths | 2,000 Sq. Ft.","579 16th Ave, San Francisco, CA 94118",https://www.redfin.com/CA/San-Francisco/4393-24th-St-94114/home/170197828
house for sale,"$998,000",2 Beds | 1 Bath | —Sq. Ft.,"25 Ottawa Ave, San Francisco, CA 94112",https://www.redfin.com/CA/San-Francisco/1396-18th-Ave-94122/home/170196489
house for sale,"$1,495,000","3 Beds | 1 Bath | 1,505 Sq. Ft.","4393 24th St, San Francisco, CA 94114",https://www.redfin.com/CA/San-Francisco/286-Trumbull-St-94112/home/767632
house for sale,"$799,000",2 Beds | 2 Baths | 800 Sq. Ft.,"1396 18th Ave, San Francisco, CA 94122",https://www.redfin.com/CA/San-Francisco/210-Rose-St-94102/home/583227
house for sale,"$998,000","3 Beds | 3 Baths | 1,325 Sq. Ft.","286 Trumbull St, San Francisco, CA 94112",https://www.redfin.com/CA/San-Francisco/1935-California-St-94109/home/11743242
house for sale,"$995,000",2 Beds | 1 Bath | 859 Sq. Ft.,"210 Rose St, SAN FRANCISCO, CA 94102",https://www.redfin.com/CA/San-Francisco/7-August-Aly-94133/home/1778583
house for sale,"$2,350,000","3 Beds | 3 Baths | 1,997 Sq. Ft.","1935 California St, San Francisco, CA 94109",https://www.redfin.com/CA/San-Francisco/1055-Gilman-Ave-94124/home/2011465
house for sale,"$875,000",1 Bed | 1 Bath | 485 Sq. Ft.,"7 August Aly, San Francisco, CA 94133",https://www.redfin.com/CA/San-Francisco/1843-Filbert-St-94123/home/12276982
house for sale,"$749,000",2 Beds | 1 Bath | 950 Sq. Ft.,"1055 Gilman Ave, SAN FRANCISCO, CA 94124",https://www.redfin.com/CA/San-Francisco/710-London-St-94112/home/1456371
house for sale,"$1,250,000","2 Beds | 1 Bath | 1,048 Sq. Ft.","1843 Filbert St, San Francisco, CA 94123",https://www.redfin.com/CA/San-Francisco/160-Julian-Ave-94103/unit-3/home/1300437
house for sale,"$875,000","2 Beds | 2 Baths | 1,031 Sq. Ft.","710 London St, San Francisco, CA 94112",https://www.redfin.com/CA/San-Francisco/1395-Newcomb-Ave-94124/home/1835290
house for sale,"$999,000","2 Beds | 1 Bath | 1,014 Sq. Ft.","160 Julian Ave #3, San Francisco, CA 94103",https://www.redfin.com/CA/San-Francisco/3233-23rd-St-94110/unit-3235/home/1015199
house for sale,"$669,000","3 Beds | 1 Bath | 1,800 Sq. Ft.","1395 Newcomb Ave, San Francisco, CA 94124",https://www.redfin.com/CA/San-Francisco/1150-Folsom-St-94103/unit-4/home/12397407
house for sale,"$1,188,000","4 Beds | —Baths | 1,890 Sq. Ft.","3233-3235 23rd St, SAN FRANCISCO, CA 94110",https://www.redfin.com/CA/San-Francisco/1015-Ashbury-St-94117/unit-1/home/12277468
house for sale,"$669,000","3 Beds | 1 Bath | 1,800 Sq. Ft.","1395 Newcomb Ave, San Francisco, CA 94124",https://www.redfin.com/CA/Los-Angeles/2970-Ripple-Pl-90039/unit-102/home/131848942
house for sale,"$1,188,000","4 Beds | —Baths | 1,890 Sq. Ft.","3233-3235 23rd St, SAN FRANCISCO, CA 94110",https://www.redfin.com/CA/Los-Angeles/4209-Via-Arbolada-90042/unit-133/home/6998908
house for sale,"$1,075,000","3 Beds | 2 Baths | 1,858 Sq. Ft.","1636 S Sierra Bonita Ave, Los Angeles, CA 90019",https://www.redfin.com/CA/West-Hollywood/8455-Fountain-Ave-90069/unit-625/home/7118471
house for sale,"$595,000","2 Beds | 2 Baths | 1,010 Sq. Ft.","2970 Ripple Pl #102, Los Angeles, CA 90039",https://www.redfin.com/CA/Valley-Village/4939-Laurel-Canyon-Blvd-91607/unit-B/home/5213906
house for sale,"$495,000","2 Beds | 2 Baths | 1,147 Sq. Ft.","4209 Via Arbolada #133, Los Angeles, CA 90042",https://www.redfin.com/CA/Los-Angeles/1342-El-Paso-Dr-90065/home/7080615
house for sale,"$822,500","2 Beds | 2 Baths | 1,555 Sq. Ft.","8455 Fountain Ave #625, West Hollywood, CA 90069",https://www.redfin.com/CA/Porter-Ranch/20416-Esmerelda-Ln-91326/home/110113275
house for sale,"$575,000","2 Beds | 3 Baths | 1,600 Sq. Ft.","4939 Laurel Canyon Blvd Unit B, Valley Village, CA 91607",https://www.redfin.com/CA/Marina-Del-Rey/310-Washington-Blvd-90292/unit-406/home/58276028
house for sale,"$824,900","2 Beds | 1 Bath | 1,120 Sq. Ft.","1342 El Paso Dr, Los Angeles, CA 90065",https://www.redfin.com/CA/Los-Angeles/1615-Echo-Park-Ave-90026/unit-4/home/40524410
house for sale,"$1,149,999","4 Beds | 4 Baths | 3,173 Sq. Ft.","20416 W Esmerelda Ln, Porter Ranch, CA 91326",https://www.redfin.com/CA/Los-Angeles/716-Maltman-Ave-90026/unit-15/home/7051489
house for sale,"$1,549,000","3 Beds | 3 Baths | 1,960 Sq. Ft.","310 Washington Blvd #406, Marina del Rey, CA 90292",https://www.redfin.com/CA/Los-Angeles/7300-Franklin-Ave-90046/unit-348/home/7116099
house for sale,"$980,000","3 Beds | 4 Baths | 1,564 Sq. Ft.","1615 Echo Park Ave #4, Echo Park, CA 90026",https://www.redfin.com/CA/View-Park/3823-Lorado-Way-90043/home/6868520
house for sale,"$675,000","2 Beds | 2.5 Baths | 1,087 Sq. Ft.","716 Maltman Ave #15, Los Angeles, CA 90026",https://www.redfin.com/CA/Encino/5460-White-Oak-Ave-91316/unit-J104/home/4776465
house for sale,"$645,000","2 Beds | 2 Baths | 1,191 Sq. Ft.","7300 Franklin Ave #348, Los Angeles, CA 90046",https://www.redfin.com/CA/Los-Angeles/5633-Carlton-Way-90028/unit-402/home/40489005
house for sale,"$849,000","3 Beds | 2 Baths | 1,680 Sq. Ft.","3823 Lorado Way, View Park, CA 90043",https://www.redfin.com/CA/Sherman-Oaks/15206-Burbank-Blvd-91411/unit-202/home/17228616
house for sale,"$299,900",2 Beds | 2 Baths | 990 Sq. Ft.,"5460 White Oak Ave Unit J104, Encino, CA 91316",https://www.redfin.com/CA/Encino/17426-Martha-St-91316/home/4755546
house for sale,"$614,900",2 Beds | 2 Baths | 860 Sq. Ft.,"5633 Carlton Way #402, Hollywood, CA 90028",https://www.redfin.com/CA/Calabasas/23500-Park-Sorrento-91302/unit-G22/home/145649023
house for sale,"$575,000","2 Beds | 3 Baths | 1,300 Sq. Ft.","15206 Burbank Blvd #202, Sherman Oaks, CA 91411",https://www.redfin.com/CA/Los-Angeles/416-S-Spring-St-90013/unit-610/home/21913133
house for sale,"$999,999","4 Beds | 3 Baths | 2,091 Sq. Ft.","17426 Martha St, Encino, CA 91316",https://www.redfin.com/CA/Los-Angeles/10365-Almayo-Ave-90064/unit-6/home/6795412
house for sale,"$1,598,830","3 Beds | 4 Baths | 2,270 Sq. Ft.","23500 Park Sorrento Unit G22, Calabasas, CA 91302",https://www.redfin.com/CA/Los-Angeles/1111-La-Puerta-St-90023/home/6944592
house for sale,"$460,000",1 Bed | 1 Bath | 780 Sq. Ft.,"416 S Spring St #610, Los Angeles, CA 90013",https://www.redfin.com/CA/Los-Angeles/2970-Ripple-Pl-90039/unit-102/home/131848942
house for sale,"$739,900",1 Bed | 2 Baths | 827 Sq. Ft.,"10365 Almayo Ave #6, Los Angeles, CA 90064",https://www.redfin.com/CA/Los-Angeles/4209-Via-Arbolada-90042/unit-133/home/6998908
house for sale,"$605,000","3 Beds | 3 Baths | 1,322 Sq. Ft.","1111 La Puerta St, Los Angeles, CA 90023",https://www.redfin.com/CA/West-Hollywood/8455-Fountain-Ave-90069/unit-625/home/7118471
house for sale,"$1,075,000","3 Beds | 2 Baths | 1,858 Sq. Ft.","1636 S Sierra Bonita Ave, Los Angeles, CA 90019",https://www.redfin.com/CA/Valley-Village/4939-Laurel-Canyon-Blvd-91607/unit-B/home/5213906
house for sale,"$595,000","2 Beds | 2 Baths | 1,010 Sq. Ft.","2970 Ripple Pl #102, Los Angeles, CA 90039",https://www.redfin.com/CA/Los-Angeles/1342-El-Paso-Dr-90065/home/7080615
house for sale,"$495,000","2 Beds | 2 Baths | 1,147 Sq. Ft.","4209 Via Arbolada #133, Los Angeles, CA 90042",https://www.redfin.com/CA/Porter-Ranch/20416-Esmerelda-Ln-91326/home/110113275
house for sale,"$822,500","2 Beds | 2 Baths | 1,555 Sq. Ft.","8455 Fountain Ave #625, West Hollywood, CA 90069",https://www.redfin.com/CA/Marina-Del-Rey/310-Washington-Blvd-90292/unit-406/home/58276028
house for sale,"$575,000","2 Beds | 3 Baths | 1,600 Sq. Ft.","4939 Laurel Canyon Blvd Unit B, Valley Village, CA 91607",https://www.redfin.com/CA/Los-Angeles/1615-Echo-Park-Ave-90026/unit-4/home/40524410
house for sale,"$824,900","2 Beds | 1 Bath | 1,120 Sq. Ft.","1342 El Paso Dr, Los Angeles, CA 90065",https://www.redfin.com/CA/Los-Angeles/716-Maltman-Ave-90026/unit-15/home/7051489
house for sale,"$1,149,999","4 Beds | 4 Baths | 3,173 Sq. Ft.","20416 W Esmerelda Ln, Porter Ranch, CA 91326",https://www.redfin.com/CA/Los-Angeles/7300-Franklin-Ave-90046/unit-348/home/7116099
house for sale,"$1,549,000","3 Beds | 3 Baths | 1,960 Sq. Ft.","310 Washington Blvd #406, Marina del Rey, CA 90292",https://www.redfin.com/CA/View-Park/3823-Lorado-Way-90043/home/6868520
house for sale,"$980,000","3 Beds | 4 Baths | 1,564 Sq. Ft.","1615 Echo Park Ave #4, Echo Park, CA 90026",https://www.redfin.com/CA/Encino/5460-White-Oak-Ave-91316/unit-J104/home/4776465
house for sale,"$675,000","2 Beds | 2.5 Baths | 1,087 Sq. Ft.","716 Maltman Ave #15, Los Angeles, CA 90026",https://www.redfin.com/CA/Los-Angeles/5633-Carlton-Way-90028/unit-402/home/40489005
house for sale,"$645,000","2 Beds | 2 Baths | 1,191 Sq. Ft.","7300 Franklin Ave #348, Los Angeles, CA 90046",https://www.redfin.com/CA/Sherman-Oaks/15206-Burbank-Blvd-91411/unit-202/home/17228616
house for sale,"$849,000","3 Beds | 2 Baths | 1,680 Sq. Ft.","3823 Lorado Way, View Park, CA 90043",https://www.redfin.com/CA/Encino/17426-Martha-St-91316/home/4755546
house for sale,"$299,900",2 Beds | 2 Baths | 990 Sq. Ft.,"5460 White Oak Ave Unit J104, Encino, CA 91316",https://www.redfin.com/CA/Calabasas/23500-Park-Sorrento-91302/unit-G22/home/145649023
house for sale,"$614,900",2 Beds | 2 Baths | 860 Sq. Ft.,"5633 Carlton Way #402, Hollywood, CA 90028",https://www.redfin.com/CA/Los-Angeles/416-S-Spring-St-90013/unit-610/home/21913133
house for sale,"$575,000","2 Beds | 3 Baths | 1,300 Sq. Ft.","15206 Burbank Blvd #202, Sherman Oaks, CA 91411",https://www.redfin.com/CA/Los-Angeles/10365-Almayo-Ave-90064/unit-6/home/6795412
house for sale,"$999,999","4 Beds | 3 Baths | 2,091 Sq. Ft.","17426 Martha St, Encino, CA 91316",https://www.redfin.com/CA/Los-Angeles/1111-La-Puerta-St-90023/home/6944592
house for sale,"$1,598,830","3 Beds | 4 Baths | 2,270 Sq. Ft.","23500 Park Sorrento Unit G22, Calabasas, CA 91302",https://www.redfin.com/CA/Newark/38232-Luma-Ter-94560/home/95472798
house for sale,"$460,000",1 Bed | 1 Bath | 780 Sq. Ft.,"416 S Spring St #610, Los Angeles, CA 90013",https://www.redfin.com/CA/Fremont/3538-Altamira-Ter-94536/home/2112462
house for sale,"$739,900",1 Bed | 2 Baths | 827 Sq. Ft.,"10365 Almayo Ave #6, Los Angeles, CA 90064",https://www.redfin.com/CA/Fremont/43151-Calle-Familia-94539/home/170219231
house for sale,"$605,000","3 Beds | 3 Baths | 1,322 Sq. Ft.","1111 La Puerta St, Los Angeles, CA 90023",https://www.redfin.com/CA/Fremont/36045-Vallee-Ter-94536/home/1318153
house for sale,"$1,025,000","4 Beds | 3.5 Baths | 2,115 Sq. Ft.","38232 Luma Ter, Newark, CA 94560",https://www.redfin.com/CA/Fremont/33672-Pack-Horse-St-94555/home/143117883
house for sale,"$974,999","3 Beds | 2.5 Baths | 1,864 Sq. Ft.","3538 Altamira Ter, Fremont, CA 94536",https://www.redfin.com/CA/Fremont/180-Estrella-Rd-94539/home/1108452
house for sale,"$1,190,000","4 Beds | 2 Baths | 1,942 Sq. Ft.","35476 Morley Pl, Fremont, CA 94536",https://www.redfin.com/CA/Fremont/4643-Cerritos-Ave-94536/home/759869
house for sale,"$1,499,000","4 Beds | 3.5 Baths | 2,223 Sq. Ft.","43151 Calle Familia, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/6002-Pompei-Ter-94555/unit-127/home/1600030
house for sale,"$1,029,000","3 Beds | 3.5 Baths | 1,475 Sq. Ft.","40981 Fairmont Ter, Fremont, CA 94538",https://www.redfin.com/CA/Fremont/4118-Norris-Rd-94536/home/1351633
house for sale,"$998,800","3 Beds | 2 Baths | 1,390 Sq. Ft.","5558 Tyler Ct, Fremont, CA 94538",https://www.redfin.com/CA/Newark/38232-Luma-Ter-94560/home/95472798
house for sale,"$1,299,000","4 Beds | 2.5 Baths | 1,828 Sq. Ft.","2543 Abaca Way, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/3538-Altamira-Ter-94536/home/2112462
house for sale,"$1,149,800","3 Beds | 2 Baths | 1,688 Sq. Ft.","35235 Cornish Dr, Fremont, CA 94536",https://www.redfin.com/CA/Fremont/43151-Calle-Familia-94539/home/170219231
house for sale,"$949,800","2 Beds | 2 Baths | 1,296 Sq. Ft.","2994 Southwycke Ter, Fremont, CA 94536",https://www.redfin.com/CA/Fremont/36045-Vallee-Ter-94536/home/1318153
house for sale,"$2,279,800","4 Beds | 4 Baths | 3,829 Sq. Ft.","40883 Gaucho Way, Fremont, CA 94539",https://www.redfin.com/CA/Fremont/33672-Pack-Horse-St-94555/home/143117883
